sourcenotation;sourcelabel;targetnotation
152.335;Handedness and laterality;CP 7000
152.35;Voluntary movements;
152.38;Special motor functions;
152.382;Locomotion movements;
152.384;Expressive movements;YN 6200 - YN 6299
152.3842;		;ES 670
152.3842;		;GB 2960
152.3845;Grafical expressions;GB 2964
152.3845;			;GU 12750
152.3845;Graphic expressions;YG 2100
152.385;Coordination;
152.4;Emotions;CZ 1330
152.40287;Emotional intelligence tests, ...;CT 1000
152.41;Love and affection;BL 3180
152.41;		;Bk 6500
152.42;Pleasure, enjoyment, happiness, joy, ecstasy;
152.43;Wit and humor;EC 3930
152.44;Guilt and shame;BC 6880
152.44;		;BK 2150
152.46;Fear, anxiety, worry;CP 3500 - CP 3900
152.46;			;CP 3700
152.47;Anger		;
152.48;Jealousy and envy;
152.5;Physiological drives;WT 2100
152.8;Threshold, discrimination, reaction-time studies;MS 3200
152.82;Threshold and discrimination studies;
152.83;Reaction-time studies;
153;Conscious mental processes and intelligence;CV 2500
153;						;CZ 1320
153;						;CR 5000
153;						;AK 26300
153.0287;Testing and measurement;CT 1000 - CT 1900
153.0287;			;CT 1900
153.0287;;CT 2000 - CT 2400
153.0287;;CT 2400
153.0287;;CT 3000
153.0287;;CT CT 4000 - CT 4880
153.1;Memory and learning;CP 5000
153.1;			;MR 6200
153.1;;WW 4200
153.12;Memory;
153.122;Retention;
153.123;Recall and reproduction;
153.124;Recognition;
153.125;Forgetting;
153.13;Types of memory;
153.132;Visual memory;
153.133;Auditory memory;
153.134;Visual-auditory memor;
153.14;Mnemonics;
153.15;Learning;CP 5000
153.15;Learning;MR 6200
153.15;Learning;QH 740
153.15;Learning;WW 4200
153.152;Methods of learning;CP 5200
153.1522;Rote learning, learning by repetition;
153.1523;Learning by imitation;;
153.1524;Trial-and-error learning;
153.1526;Associative learning;
153.1528;Discrimination learning;
153.153;Factors in learning;
153.1532;Attention and concentration;CP 6000
153.1533;Interest and enthusiasm;
153.1534;Motivation;CP 3000
153.1533;Interest and enthusiasm;
153.1534;Motivation;CP 3100
153.1534;Motivation;CQ 5200
153.1534;Motivation;CX 3500
153.1534;Motivation;QC 010
153.154;Transfer of learning;
153.158;Learning curves;
153.2;Formation and association of ideas;CP 4000
153.22;Association of ideas;
