sourcenotation;targetnotation
403;ER 450
404;ET 400 - ET 580
404;ET 600 - ET 790
404;ET 800 - ET 860
405;EQ 1000
406;ER 100 - ER 470
407;ES 750 - ES 885
407;ER 925
407;EC 1400 - EC 1462
407;DP 4200 - DP 4230
408;EC 2500
409;EC 1465 - EC 1580
410;ER 700 - ER 785
410;ER 900 - ER 990
410;ES 900 - ES 965
410;ET 760 - ET 790
410;ER 850
410;ES 100 - ES 155
410;ES 200 - ES 275
411;ET
412;ET 350
413;ER 450
414;ET 200 - ET 280
415;ET 100 - ET 180
417;ES 100 - ES 155
418;ES 600 - ES 885
419;ES 175
420;HE - HF
420;HE 350 - HE 580
421;HF 189 - HF 199
421;HE 220 - HE 225
421;HE 210 - HE 218
422;HE 325
422;HF 850
423;HF 831 - HF 838
425;HE 400 - HE 580
425;HF 700 - HF 899
427;HF 500 - HF 590
428;HE 270 - HE 297
428;HE 300
429;HE 350 - HE 580
430;G
431;GC 2132
431;GC 2143
431;GC 3612
431;GC 3623
431;GC 4868
431;GC 4849
431;GC 6087
431;GC 6617
432;GB 1498
432;GB 6552
432;GC 1856
432;GC 9301
433;GB 1489 - GB 1571
435;GC 2121 - GC 2260
435;GC 3601 - GC 3779
435;GC 4809 - GC 4899
435;GC 6009 - GC 7399
437;GC 1870a
437;GC 2440a
437;GC 4000a
437;GC 4989a
437;GD
438;GC 3801
438;GC 8001 - GC 8199
439;GB 5601-  GB 5769
439;GB 6006 - GB 6660
439;GC 1381 - GC 1409
439;GC 2002 - GC 2469
439;GD 8201 - GD 8629
439;GU
439;GW - GZ
440;IB
440;ID
441;ID 2000
441;ID 1800 - ID 1950
442;ID 2250
443;ID 2300
445;ID 1775 - ID 2125
445;ID 3250 - ID 6100
447;ID 2375
448;ID 6235 - ID 6500
448;ID 2150
449;IK
449;IL
450;IS - IV
451;IS 1800
451;IS 1900
451;IS 1950
451;IS 2000
451;IS 4345
451;IS 4000 - IS 4335
452;IS 2250
452;IS 7320
453;IS 2330
453;IS 6820 - IS 7198
455;IS 1750 - IS 2125
455;IS 3800 - IS 6360
457;IS 2380
457;IS 8000 - IS 8955
458;IS 6440 - IS 6680
459;IW 1000 - IW 3000
459;IW 4000 - IW 9991
459;IX
460;IM
460;IR
461;IM 1800
461;IM 1900
461;IM 1950
461;IM 2000
461;IM 3325 - IM 4065
461;IM 4275 
462;IM 6550 - IM 6890
462;IM 6900 - IM 7390
462;IM 2250
463;IM 2300
463;IM 7390
465;IM 1750 - IM 2125
465;IM 3250 - IM 6165
467;IM 8000 - IM 9960
467;IM 2360
468;IM 6235 - IM 6445
469;IR
470;FN
471;FS 5021
472;FN 2571
472;FS 2571
473;FN 2451 - FN 2591
473;FS 2451 - FS 2591
475;FN 3301 - FN 3491
477;FP
478;FN 5021 - FN 5301
480;FC
481;FC 2851 - FC 2891
482;FC 5701 - FC 6091
482;FC 2571
482;FB 4775 - FB 4871
483;FC 2451 - FC 2591
485;FC 3301 - FC 3491
485;FB 4501
487;FL
488;FB 4501
488;FB 4699
489;FD 1010 - FD 2920
491;EU
491;EW
491;EY
492;EP
492;EL
493;EO 1000 - EO 4060
494;EH
494;EK 1000 - EK 5780
494;EE 1900 - EE 1985
495;EF 11000 - EF 99999 
495;EG
496;EP
497;EE 2100 - EE 4711
498;EE 7200 - EE 9346
499;EE 1650 - EE 1680
499;EE 1760 - EE 1795
499;EE 1800 - EE 1840
499;EE 1850
499;EF 40000 - EF 49500
500;TA - TD
501;TB 6200
502;TB 4100
502;TB 5000
503;TB 1010
505;TA 1000
505;TD 5000 - TD 9999
506;TA -TD
507;TB 4000
507;TB 4050
507;TB 4053 - TB 4098
508;TB 2170 - TB 2390
509;TB 2170 - TB 2390
510;SA - SP
510;QH 100 - QH 170
511;SM 600
512;SK 200
512;SK 320
512;SI 172
512;SM 617
512;QH 140
513;SM 610
513;SK 130
513;SK 180
513;SK 920
514;SK 280
515;QH 150
515;SK 130
515;SK 400
515;SK 490
515;SK 820
515;SM 615
516;SK 399
516;SI 172
516;SK 240
516;SK 350
516;SK 380
516;SM 613
516;QH 140
518;SK 900
519;SK 800
519;QH 170
520;US
521;US 1200
522;US 1400 - US 1900
523;US 8000
525;US 8200
526;TG 1130 - TG 1185
526;US 1700 - US 1860
527;US 1900
528;US 1860
529;UB 7500
529;US 1800
530;U
531;UF 1000
532;UF 4000
532;UF 4050
533;UF 4000
534;UF 5000 - UF 6900
535;UH 
536;UP 2300
537;UX 3300
537;UG 1000
538;UP 6000 - UP 6900
539;UK
539;UM
539;UN
539;UO
540;V
541;VE
542;VE 5100
543;VG
543;VB 2420 - VB 2429
544;VG 6000 - VG 6009
545;VG 6100 - VG 6109
546;VH
547;VK
548;UB 1056
548;UQ 1000 - UQ 5600
549;UQ 6000 - UQ 6800
550;UT 1000 - UT 2970
551;TE -TZ
551;UT 3000 - UT 4800
551;UT 5000 - UT 9800
552;TH
553;TY - TZ 8300
553;RB 10126
554;TP 5000
554;RK 15118
555;TP 6400
556;TP 7000
557;TP 8100
558;TP 8800
559;TP 9000
560;TQ - TX
560;WH 9000 - WH 9480
561;TQ 1100
561;TS 1000
561;WH 9100 - WH 9199
562;WP 1999
562;WH 9300
562;TS 1000
563;TS 6000
563;WP 3000 - WP 4900
564;TT 1000
565;TT 7100
566;WH 8700
567;WH 9400
567;WH 9410
567;WH 9420
567;WH 9425
567;WH 9430
567;WH 9430
567;WH 9445
567;WH 9460
567;TS 1000
568;WH 9640
568;TX 8000
569;TX 1000
570;W
571;WW
572;WD
572;WB 1036
573;WH 7200
575;WH 6050
576;WG
576;WH
577;WI
577;WF 9300
577;WK
577;AR
578;WB 2300 - WB 2488
579;WB 2300 - WB 2488
580;WB 9200
580;WL
580;WM
580;WN
581;WL 2000 - WL 9790
581;WB 2435
582;WM 1000
582;WM 3020
582;WL 1100 - WL 1299                                                            
583;WL 8020
584;WL 9470
585;WL 7750
586;WL 2005 - WL 7735
587;WL 7325 - WL 7735
588;WL 6500 - WL 7320
590;WP - WS
590;WT
590;WB 9300
590;WB 1455
591;WB 2300 - WB 2488
591;WB 9300
592;WP 1999
592;WH 7300
593;WH 9300
593;WH 7300
593;WI 4440
593;WI 4600
593;WP 1026
593;WP 1027
594;WG 6300
594;WH 8300
594;WH 9360
595;WH 7600
596;WH 8700
597;WR 2500 - WR 6800
598;WG 6850
598;WH 8850
598;WH 9460
598;WS 1000 - WS 4950
599;WG 6900
599;WH 8900
599;WH 9480
599;WS 5000 - WS 9950
600;ZG - ZS
601;CC 8000 - CC 8300
601;CC 8700
601;ZG 8640
602;ZG 8640
602;ZG 8650
602;ZG 9050
603;ZG 8550
603;ZG 8560
603;ZG 8530
603;ZG 8540
604;ZG 9140
604;ZL 3225
604;ZM 8300 - ZM 8370
605;ZG 1100
605;ZG 4000 - ZG 4499
605;ZG 4500
606;ZG 9070
607;ZG 8640
607;ZG 9060
608;ZG 9180
608;ZG 8640
609;ZG 8000
609;ZO 5050
609;ZG 8700
609;ZG 8770
609;ZG 8940
609;ZG 8800 - ZG 8899
610;WW -YV
611;WW
612;WW 1540 - WW 9900
612;WW_1540 - WW_1619
613;XF 1500 - XF 2499
613;MS 6500
614;XL
614;PH 9020
614;XF
615;VT
615;XI
615;XB 5100 - XB 5199
615;XF 1253
615;XH 3100
615;XH 3350
615;YB 2400 - YB 2899
615;YC 2100 - YC 2199
615;YC 3500 - YC 3599
615;YC 5000 - YC 5099
615;YC 6400
615;YC 9100 - YC 9199
615;YD 1700 - YD 1799
615;YE 1800
615;YE 2200 - YE 2299
