uri,created,toNotation,fromNotation,type
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1345782020,2024-10-22,800615000,4053458-3,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1345782152,2024-10-22,800349753,4053474-1,≈
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1345782322,2024-10-22,800490270,4053369-4,≈
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1345782489,2024-10-22,800255134,4116433-7,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1345782608,2024-10-22,800317154,4077258-5,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1345782713,2024-10-22,800624949,4053881-3,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-134578287X,2024-10-22,800506926,4116489-1,≈
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1345783000,2024-10-22,800389768,4077548-3,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1345783116,2024-10-22,800696391,4077575-6,≈
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1345783248,2024-10-22,800151915,4077587-2,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1345783434,2024-10-22,800135186,4077624-4,≈
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1345783531,2024-10-22,800488075,4055964-6,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1345783663,2024-10-22,800351540,4077640-2,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1345783779,2024-10-22,800093007,4056449-6,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1345783965,2024-10-22,800086897,4056618-3,≈
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1345784082,2024-10-22,800105975,4056723-0,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1345784201,2024-10-22,800035638,4056795-3,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1345784287,2024-10-22,800188114,4129845-7,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1345784406,2024-10-22,800447108,4056754-0,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-134578452X,2024-10-22,800324113,4056995-0,≈
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1345784643,2024-10-22,800176603,4116614-0,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1345784791,2024-10-22,800051496,4059205-4,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1345784902,2024-10-22,800534496,4059702-7,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-134578502X,2024-10-22,800541679,4059758-1,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1345785135,2024-10-22,800553444,4059787-8,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1345785232,2024-10-22,800083342,4060087-7,≈
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1345785348,2024-10-22,800645394,4061084-6,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1345785496,2024-10-22,800250894,4061163-2,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1345785585,2024-10-22,800410235,4061418-9,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1345785674,2024-10-22,800299891,4061496-7,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1345785801,2024-10-22,800542894,4061644-7,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1345785909,2024-10-22,800431625,4078541-5,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1345786069,2024-10-22,800195702,4061963-1,≈
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1345786182,2024-10-22,800204325,4062005-0,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1345786271,2024-10-22,800019592,4078704-7,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1345786387,2024-10-22,800671085,4062714-7,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1345786514,2024-10-22,800175086,4063317-2,≈
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1345786743,2024-10-22,800654157,4079163-4,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1345786875,2024-10-22,800468796,4079167-1,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1345786999,2024-10-22,800684521,4135971-9,≈
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1345787138,2024-10-22,800006897,4066399-1,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1345787251,2024-10-22,800297306,4066438-7,≈
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1345787383,2024-10-22,800139930,4066493-4,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1345787510,2024-10-22,800523246,4066562-8,≈
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1345787618,2024-10-22,800639504,4066724-8,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-134578774X,2024-10-22,800342881,4067488-5,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1345787979,2024-10-22,800377159,4006406-2,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1346637520,2024-10-30,800497116,1212879422,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1346637539,2024-10-30,800046777,5170587-4,≈
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1346637547,2024-10-30,800644752,4133352-4,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1346637555,2024-10-30,800451117,4465706-7,≈
