sourcenotation;sourcepreflabel;targetnotation;targetpreflabel
GF 7695;Gesamtausgaben;18.10;Deutsche Literatur
GF 7695;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GF 7696;Einzelausgaben;18.10;Deutsche Literatur
GF 7696;Einzelausgaben;17.97;Texte eines einzelnen Autors
GF 7697;Übersetzungen;18.10;Deutsche Literatur
GF 7697;Übersetzungen;17.97;Texte eines einzelnen Autors
GF 7698;Sekundärliteratur;18.10;Deutsche Literatur
GF 7699;Gesamtausgaben;18.10;Deutsche Literatur
GF 7699;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GF 7700;Einzelausgaben;18.10;Deutsche Literatur
GF 7700;Einzelausgaben;17.97;Texte eines einzelnen Autors
GF 7701;Übersetzungen;18.10;Deutsche Literatur
GF 7701;Übersetzungen;17.97;Texte eines einzelnen Autors
GF 7702;Sekundärliteratur;18.10;Deutsche Literatur
GF 7707;Gesamtausgaben;18.10;Deutsche Literatur
GF 7707;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GF 7708;Einzelausgaben;18.10;Deutsche Literatur
GF 7708;Einzelausgaben;17.97;Texte eines einzelnen Autors
GF 7709;Übersetzungen;18.10;Deutsche Literatur
GF 7709;Übersetzungen;17.97;Texte eines einzelnen Autors
GF 7710;Sekundärliteratur;18.10;Deutsche Literatur
GF 7722;Gesamtausgaben;18.10;Deutsche Literatur
GF 7722;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GF 7723;Einzelausgaben;18.10;Deutsche Literatur
GF 7723;Einzelausgaben;17.97;Texte eines einzelnen Autors
GF 7724;Übersetzungen;18.10;Deutsche Literatur
GF 7724;Übersetzungen;17.97;Texte eines einzelnen Autors
GF 7725;Sekundärliteratur;18.10;Deutsche Literatur
GF 7731;Gesamtausgaben;18.10;Deutsche Literatur
GF 7731;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GF 7732;Einzelausgaben;18.10;Deutsche Literatur
GF 7732;Einzelausgaben;17.97;Texte eines einzelnen Autors
GF 7733;Übersetzungen;18.10;Deutsche Literatur
GF 7733;Übersetzungen;17.97;Texte eines einzelnen Autors
GF 7734;Sekundärliteratur;18.10;Deutsche Literatur
GF 7735;Gesamtausgaben;18.10;Deutsche Literatur
GF 7735;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GF 7736;Einzelausgaben;18.10;Deutsche Literatur
GF 7736;Einzelausgaben;17.97;Texte eines einzelnen Autors
GF 7737;Übersetzungen;18.10;Deutsche Literatur
GF 7737;Übersetzungen;17.97;Texte eines einzelnen Autors
GF 7738;Sekundärliteratur;18.10;Deutsche Literatur
GF 7745;Gesamtausgaben;18.10;Deutsche Literatur
GF 7745;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GF 7746;Einzelausgaben;18.10;Deutsche Literatur
GF 7746;Einzelausgaben;17.97;Texte eines einzelnen Autors
GF 7747;Übersetzungen;18.10;Deutsche Literatur
GF 7747;Übersetzungen;17.97;Texte eines einzelnen Autors
GF 7748;Sekundärliteratur;18.10;Deutsche Literatur
GF 7749;Gesamtausgaben;18.10;Deutsche Literatur
