sourcenotation;sourcepreflabel;targetnotation;targetpreflabel
GX 1070;Stilforschung;17.77; Stilistik; Rhetorik <Literaturwissenschaftt> 
GX 1130;Einzelne Gattungen;17.80;Literarische Gattungen: Allgemeines
GX 1188;Gattungs- und Formengeschichte;17.80;Literarische Gattungen: Allgemeines
GX 1212;Gattungs- und Formengeschichte;17.80;Literarische Gattungen: Allgemeines
GX 1236;Gattungs- und Formengeschichte;17.80;Literarische Gattungen: Allgemeines
GX 1260;Gattungs- und Formengeschichte;17.80;Literarische Gattungen: Allgemeines
GX 1282;Gattungs- und Formengeschichte;17.80;Literarische Gattungen: Allgemeines
GX 1160;Epik;17.81;Epik, Prosa
GX 1174;Epik;17.81;Epik, Prosa
GX 1198;Epik;17.81;Epik, Prosa
GX 1222;Epik;17.81;Epik, Prosa
GX 1246;Epik;17.81;Epik, Prosa
GX 1270;Epik;17.81;Epik, Prosa
GX 1292;Epik;17.81;Epik, Prosa
GX 1150;Dramatik;17.82;Dramatik
GX 1172;Dramatik;17.82;Dramatik
GX 1200;Dramatik;17.82;Dramatik
GX 1224;Dramatik;17.82;Dramatik
GX 1248;Dramatik;17.82;Dramatik
GX 1272;Dramatik;17.82;Dramatik
GX 1294;Dramatik;17.82;Dramatik
GX 1140;Lyrik;17.83;Lyrik
GX 1170;Lyrik, Folkevise;17.83;Lyrik
GX 1196;Lyrik;17.83;Lyrik
GX 1220;Lyrik;17.83;Lyrik
GX 1244;Lyrik;17.83;Lyrik
GX 1268;Lyrik;17.83;Lyrik
GX 1290;Lyrik;17.83;Lyrik
GX 1162;Volksdichtung;17.84;Sonstige literarische Gattungen
GX 1176;Sagen und Märchen, Volksdichtung;17.84;Sonstige literarische Gattungen
GX 1161;Sonstiges;17.87;Besondere Literaturkategorien
GX 1176;Sagen und Märchen, Volksdichtung;17.87;Besondere Literaturkategorien
GX 1080;Sonstiges;17.89;Literaturtheorie: Sonstiges
GX 1020;Literaturpsychologie, Literatursoziologie;17.90;Literatur in Beziehung zu anderen Bereichen von Wissenschaft und Kultur
GX 1030;Beziehungen zu anderen Gebieten;17.90;Literatur in Beziehung zu anderen Bereichen von Wissenschaft und Kultur
GX 1020;Literaturpsychologie, Literatursoziologie;17.91;Literatursoziologie
GX 1168;Thematische;17.93;Literarische Stoffe, literarische Motive, literarische Themen
GX 1166;Allgemeine;17.98;Textsammlungen
GX 1167;Regionale;17.98;Textsammlungen
GX 1168;Thematische;17.98;Textsammlungen
GX 1170;Lyrik, Folkevise;17.98;Textsammlungen
GX 1172;Dramatik;17.98;Textsammlungen
GX 1174;Epik;17.98;Textsammlungen
GX 1176;Sagen und Märchen, Volksdichtung;17.98;Textsammlungen
GX 1178;Zitatensammlungen;17.98;Textsammlungen
GX 1179;Sonstige;17.98;Textsammlungen
GX 1194;Textsammlungen, Anthologien;17.98;Textsammlungen
GX 1218;Textsammlungen;17.98;Textsammlungen
GX 1242;Textsammlungen, Anthologien;17.98;Textsammlungen
GX 1266;Textsammlungen, Anthologien;17.98;Textsammlungen
GX 1288;Textsammlungen, Anthologien;17.98;Textsammlungen
GX 1000;Allgemeines;18.18;Dänische Sprache und Literatur
GX 1003;Bibliographien;18.18;Dänische Sprache und Literatur
GX 1005;Lexika;18.18;Dänische Sprache und Literatur
GX 1010;Allgemeines;18.18;Dänische Sprache und Literatur
GX 1020;Literaturpsychologie, Literatursoziologie;18.18;Dänische Sprache und Literatur
GX 1030;Beziehungen zu anderen Gebieten;18.18;Dänische Sprache und Literatur
GX 1040;Allgemeines;18.18;Dänische Sprache und Literatur
GX 1050;Geschichte der Poetik;18.18;Dänische Sprache und Literatur
GX 1060;Metrik, Rhythmik;18.18;Dänische Sprache und Literatur
GX 1070;Stilforschung;18.18;Dänische Sprache und Literatur
GX 1080;Sonstiges;18.18;Dänische Sprache und Literatur
GX 1110;Allgemeines;18.18;Dänische Sprache und Literatur
GX 1120;Besondere Gebiete;18.18;Dänische Sprache und Literatur
GX 1130;Einzelne Gattungen;18.18;Dänische Sprache und Literatur
GX 1140;Lyrik;18.18;Dänische Sprache und Literatur
GX 1150;Dramatik;18.18;Dänische Sprache und Literatur
GX 1160;Epik;18.18;Dänische Sprache und Literatur
GX 1161;Sonstiges;18.18;Dänische Sprache und Literatur
GX 1162;Volksdichtung;18.18;Dänische Sprache und Literatur
GX 1163;Literaturkritik;18.18;Dänische Sprache und Literatur
GX 1166;Allgemeine;18.18;Dänische Sprache und Literatur
GX 1167;Regionale;18.18;Dänische Sprache und Literatur
GX 1168;Thematische;18.18;Dänische Sprache und Literatur
GX 1170;Lyrik, Folkevise;18.18;Dänische Sprache und Literatur
GX 1172;Dramatik;18.18;Dänische Sprache und Literatur
GX 1174;Epik;18.18;Dänische Sprache und Literatur
GX 1176;Sagen und Märchen, Volksdichtung;18.18;Dänische Sprache und Literatur
GX 1178;Zitatensammlungen;18.18;Dänische Sprache und Literatur
GX 1179;Sonstige;18.18;Dänische Sprache und Literatur
GX 1180;Allgemeines;18.18;Dänische Sprache und Literatur
GX 1181;Bibliographien;18.18;Dänische Sprache und Literatur
GX 1182;Literaturgeschichte;18.18;Dänische Sprache und Literatur
GX 1184;Geistes- und Ideengeschichte;18.18;Dänische Sprache und Literatur
GX 1186;Poetik;18.18;Dänische Sprache und Literatur
GX 1188;Gattungs- und Formengeschichte;18.18;Dänische Sprache und Literatur
GX 1190;Literaturkritik;18.18;Dänische Sprache und Literatur
GX 1192;Beziehungen zu anderen Literaturen;18.18;Dänische Sprache und Literatur
GX 1194;Textsammlungen, Anthologien;18.18;Dänische Sprache und Literatur
GX 1196;Lyrik;18.18;Dänische Sprache und Literatur
GX 1198;Epik;18.18;Dänische Sprache und Literatur
GX 1200;Dramatik;18.18;Dänische Sprache und Literatur
GX 1202;Allgemeines;18.18;Dänische Sprache und Literatur
GX 1204;Bibliographien;18.18;Dänische Sprache und Literatur
GX 1206;Literaturgeschichte;18.18;Dänische Sprache und Literatur
GX 1208;Geistes- und Ideengeschichte;18.18;Dänische Sprache und Literatur
GX 1210;Poetik;18.18;Dänische Sprache und Literatur
GX 1212;Gattungs- und Formengeschichte;18.18;Dänische Sprache und Literatur
GX 1214;Literaturkritik;18.18;Dänische Sprache und Literatur
GX 1216;Beziehungen zu anderen Literaturen;18.18;Dänische Sprache und Literatur
GX 1218;Textsammlungen;18.18;Dänische Sprache und Literatur
GX 1220;Lyrik;18.18;Dänische Sprache und Literatur
GX 1222;Epik;18.18;Dänische Sprache und Literatur
GX 1224;Dramatik;18.18;Dänische Sprache und Literatur
GX 1226;Allgemeines;18.18;Dänische Sprache und Literatur
GX 1228;Bibliographien;18.18;Dänische Sprache und Literatur
GX 1230;Literaturgeschichte;18.18;Dänische Sprache und Literatur
GX 1232;Geistes- und Ideengeschichte;18.18;Dänische Sprache und Literatur
GX 1234;Poetik;18.18;Dänische Sprache und Literatur
GX 1236;Gattungs- und Formengeschichte;18.18;Dänische Sprache und Literatur
GX 1238;Literaturkritik;18.18;Dänische Sprache und Literatur
GX 1240;Beziehungen zu anderen Literaturen;18.18;Dänische Sprache und Literatur
GX 1242;Textsammlungen, Anthologien;18.18;Dänische Sprache und Literatur
GX 1244;Lyrik;18.18;Dänische Sprache und Literatur
GX 1246;Epik;18.18;Dänische Sprache und Literatur
GX 1248;Dramatik;18.18;Dänische Sprache und Literatur
GX 1250;Allgemeines;18.18;Dänische Sprache und Literatur
GX 1252;Bibliographien;18.18;Dänische Sprache und Literatur
GX 1254;Literaturgeschichte;18.18;Dänische Sprache und Literatur
GX 1256;Geistes- und Ideengeschichte;18.18;Dänische Sprache und Literatur
GX 1258;Poetik;18.18;Dänische Sprache und Literatur
GX 1260;Gattungs- und Formengeschichte;18.18;Dänische Sprache und Literatur
GX 1262;Literaturkritik;18.18;Dänische Sprache und Literatur
GX 1264;Beziehungen zu anderen Literaturen;18.18;Dänische Sprache und Literatur
GX 1266;Textsammlungen, Anthologien;18.18;Dänische Sprache und Literatur
GX 1268;Lyrik;18.18;Dänische Sprache und Literatur
GX 1270;Epik;18.18;Dänische Sprache und Literatur
GX 1272;Dramatik;18.18;Dänische Sprache und Literatur
GX 1273;Allgemeines;18.18;Dänische Sprache und Literatur
GX 1274;Bibliographien;18.18;Dänische Sprache und Literatur
GX 1276;Literaturgeschichte;18.18;Dänische Sprache und Literatur
GX 1278;Geistes- und Ideengeschichte;18.18;Dänische Sprache und Literatur
GX 1280;Poetik;18.18;Dänische Sprache und Literatur
GX 1282;Gattungs- und Formengeschichte;18.18;Dänische Sprache und Literatur
GX 1284;Literaturkritik;18.18;Dänische Sprache und Literatur
GX 1286;Beziehungen zu anderen Literaturen;18.18;Dänische Sprache und Literatur
GX 1288;Textsammlungen, Anthologien;18.18;Dänische Sprache und Literatur
GX 1290;Lyrik;18.18;Dänische Sprache und Literatur
GX 1292;Epik;18.18;Dänische Sprache und Literatur
GX 1294;Dramatik;18.18;Dänische Sprache und Literatur
GX 1296;Film;18.18;Dänische Sprache und Literatur
GX 1296;Film;24.30;Film: Allgemeines
sourcenotation;sourcepreflabel;targetnotation;targetpreflabel
GX 5000;Allgemeines;17.70;Literaturwissenschaft: Allgemeines
GX 5003;Bibliographien;17.70;Literaturwissenschaft: Allgemeines
GX 5005;Lexika;17.70;Literaturwissenschaft: Allgemeines
GX 5010;Allgemeines;17.70;Literaturwissenschaft: Allgemeines
GX 5215;Allgemeines;17.70;Literaturwissenschaft: Allgemeines
GX 5216;Bibliographien;17.70;Literaturwissenschaft: Allgemeines
GX 5238;Allgemeines;17.70;Literaturwissenschaft: Allgemeines
GX 5240;Bibliographien;17.70;Literaturwissenschaft: Allgemeines
GX 5262;Allgemeines;17.70;Literaturwissenschaft: Allgemeines
GX 5264;Bibliographien;17.70;Literaturwissenschaft: Allgemeines
GX 5288;Allgemeines;17.70;Literaturwissenschaft: Allgemeines
GX 5290;Bibliographien;17.70;Literaturwissenschaft: Allgemeines
GX 5312;Allgemeines;17.70;Literaturwissenschaft: Allgemeines
GX 5314;Bibliographien;17.70;Literaturwissenschaft: Allgemeines
GX 5340;Allgemeines;17.70;Literaturwissenschaft: Allgemeines
GX 5342;Bibliographien;17.70;Literaturwissenschaft: Allgemeines
GX 5090;Allgemeines;17.71;Literaturgeschichte
GX 5100;Besondere Gebiete;17.71;Literaturgeschichte
GX 5218;Literaturgeschichte;17.71;Literaturgeschichte
GX 5220;Geistes- und Ideengeschichte;17.71;Literaturgeschichte
GX 5228;Beziehungen zu anderen Literaturen;17.71;Literaturgeschichte
GX 5242;Literaturgeschichte;17.71;Literaturgeschichte
GX 5244;Geistes- und Ideengeschichte;17.71;Literaturgeschichte
GX 5252;Beziehungen zu anderen Literaturen;17.71;Literaturgeschichte
GX 5266;Literaturgeschichte;17.71;Literaturgeschichte
GX 5268;Geistes- und Ideengeschichte;17.71;Literaturgeschichte
GX 5278;Beziehungen zu anderen Literaturen;17.71;Literaturgeschichte
GX 5292;Literaturgeschichte;17.71;Literaturgeschichte
GX 5294;Geistes- und Ideengeschichte;17.71;Literaturgeschichte
GX 5302;Beziehungen zu anderen Literaturen;17.71;Literaturgeschichte
GX 5316;Literaturgeschichte;17.71;Literaturgeschichte
GX 5318;Geistes- und Ideengeschichte;17.71;Literaturgeschichte
GX 5326;Beziehungen zu anderen Literaturen;17.71;Literaturgeschichte
GX 5344;Literaturgeschichte;17.71;Literaturgeschichte
GX 5346;Geistes- und Ideengeschichte;17.71;Literaturgeschichte
GX 5354;Beziehungen zu anderen Literaturen;17.71;Literaturgeschichte
GX 5040;Allgemeines;17.73;Literaturtheorie: Allgemeines
GX 5050;Geschichte der Poetik;17.73;Literaturtheorie: Allgemeines
GX 5222;Poetik;17.73;Literaturtheorie: Allgemeines
GX 5246;Poetik;17.73;Literaturtheorie: Allgemeines
GX 5270;Poetik;17.73;Literaturtheorie: Allgemeines
GX 5296;Poetik;17.73;Literaturtheorie: Allgemeines
GX 5320;Poetik;17.73;Literaturtheorie: Allgemeines
GX 5348;Poetik;17.73;Literaturtheorie: Allgemeines
GX 5162;Literaturkritik;17.75;Literaturkritik
GX 5226;Literaturkritik;17.75;Literaturkritik
GX 5250;Literaturkritik;17.75;Literaturkritik
GX 5274;Literaturkritik;17.75;Literaturkritik
GX 5300;Literaturkritik;17.75;Literaturkritik
GX 5324;Literaturkritik;17.75;Literaturkritik
GX 5352;Literaturkritik;17.75;Literaturkritik
GX 5060;Metrik, Rhythmik;17.77; Stilistik; Rhetorik <Literaturwissenschaftt> 
GX 5070;Stilforschung;17.77; Stilistik; Rhetorik <Literaturwissenschaftt> 
GX 5110;Einzelne Gattungen;17.80;Literarische Gattungen: Allgemeines
GX 5224;Gattungs- und Formengeschichte;17.80;Literarische Gattungen: Allgemeines
GX 5248;Gattungs- und Formengeschichte;17.80;Literarische Gattungen: Allgemeines
GX 5272;Gattungs- und Formengeschichte;17.80;Literarische Gattungen: Allgemeines
GX 5298;Gattungs- und Formengeschichte;17.80;Literarische Gattungen: Allgemeines
GX 5322;Gattungs- und Formengeschichte;17.80;Literarische Gattungen: Allgemeines
GX 5350;Gattungs- und Formengeschichte;17.80;Literarische Gattungen: Allgemeines
GX 5150;Epik;17.81;Epik, Prosa
GX 5213;Epik;17.81;Epik, Prosa
GX 5234;Epik;17.81;Epik, Prosa
GX 5258;Epik;17.81;Epik, Prosa
GX 5284;Epik;17.81;Epik, Prosa
GX 5308;Epik;17.81;Epik, Prosa
GX 5332;Epik;17.81;Epik, Prosa
GX 5360;Epik;17.81;Epik, Prosa
GX 5140;Dramatik;17.82;Dramatik
GX 5212;Dramatik;17.82;Dramatik
GX 5236;Dramatik;17.82;Dramatik
GX 5260;Dramatik;17.82;Dramatik
GX 5286;Dramatik;17.82;Dramatik
GX 5310;Dramatik;17.82;Dramatik
GX 5334;Dramatik;17.82;Dramatik
GX 5362;Dramatik;17.82;Dramatik
GX 5130;Lyrik;17.83;Lyrik
GX 5211;Lyrik;17.83;Lyrik
GX 5232;Lyrik;17.83;Lyrik
GX 5256;Lyrik;17.83;Lyrik
GX 5282;Lyrik;17.83;Lyrik
GX 5306;Lyrik;17.83;Lyrik
GX 5330;Lyrik;17.83;Lyrik
GX 5358;Lyrik;17.83;Lyrik
GX 5160;Sonstiges;17.84;Sonstige literarische Gattungen
GX 5237;Sonstige;17.84;Sonstige literarische Gattungen
GX 5155;Volksdichtung;17.87;Besondere Literaturkategorien
GX 5190;Regionale Texts., Volksdichtung;17.87;Besondere Literaturkategorien
GX 5080;Sonstiges;17.89;Literaturtheorie: Sonstiges
GX 5020;Literaturpsychologie, Literatursoziologie;17.90;Literatur in Beziehung zu anderen Bereichen von Wissenschaft und Kultur
GX 5030;Beziehungen zu anderen Gebieten;17.90;Literatur in Beziehung zu anderen Bereichen von Wissenschaft und Kultur
GX 5020;Literaturpsychologie, Literatursoziologie;17.91;Literatursoziologie
GX 5200;Thematische;17.93;Literarische Stoffe, literarische Motive, literarische Themen
GX 5180;Allgemeine;17.98;Textsammlungen
GX 5190;Regionale Texts., Volksdichtung;17.98;Textsammlungen
GX 5200;Thematische;17.98;Textsammlungen
GX 5211;Lyrik;17.98;Textsammlungen
GX 5212;Dramatik;17.98;Textsammlungen
GX 5213;Epik;17.98;Textsammlungen
GX 5214;Sonstige;17.98;Textsammlungen
GX 5230;Textsammlungen, Anthologien;17.98;Textsammlungen
GX 5254;Textsammlungen, Anthologien;17.98;Textsammlungen
GX 5280;Textsammlungen, Anthologien;17.98;Textsammlungen
GX 5304;Textsammlungen, Anthologien;17.98;Textsammlungen
GX 5328;Textsammlungen, Anthologien;17.98;Textsammlungen
GX 5356;Textsammlungen, Anthologien;17.98;Textsammlungen
GX 5000;Allgemeines;18.17;Schwedische Sprache und Literatur
GX 5003;Bibliographien;18.17;Schwedische Sprache und Literatur
GX 5005;Lexika;18.17;Schwedische Sprache und Literatur
GX 5010;Allgemeines;18.17;Schwedische Sprache und Literatur
GX 5020;Literaturpsychologie, Literatursoziologie;18.17;Schwedische Sprache und Literatur
GX 5030;Beziehungen zu anderen Gebieten;18.17;Schwedische Sprache und Literatur
GX 5040;Allgemeines;18.17;Schwedische Sprache und Literatur
GX 5050;Geschichte der Poetik;18.17;Schwedische Sprache und Literatur
GX 5060;Metrik, Rhythmik;18.17;Schwedische Sprache und Literatur
GX 5070;Stilforschung;18.17;Schwedische Sprache und Literatur
GX 5080;Sonstiges;18.17;Schwedische Sprache und Literatur
GX 5090;Allgemeines;18.17;Schwedische Sprache und Literatur
GX 5100;Besondere Gebiete;18.17;Schwedische Sprache und Literatur
GX 5110;Einzelne Gattungen;18.17;Schwedische Sprache und Literatur
GX 5130;Lyrik;18.17;Schwedische Sprache und Literatur
GX 5140;Dramatik;18.17;Schwedische Sprache und Literatur
GX 5150;Epik;18.17;Schwedische Sprache und Literatur
GX 5155;Volksdichtung;18.17;Schwedische Sprache und Literatur
GX 5160;Sonstiges;18.17;Schwedische Sprache und Literatur
GX 5162;Literaturkritik;18.17;Schwedische Sprache und Literatur
GX 5180;Allgemeine;18.17;Schwedische Sprache und Literatur
GX 5190;Regionale Texts., Volksdichtung;18.17;Schwedische Sprache und Literatur
GX 5200;Thematische;18.17;Schwedische Sprache und Literatur
GX 5211;Lyrik;18.17;Schwedische Sprache und Literatur
GX 5212;Dramatik;18.17;Schwedische Sprache und Literatur
GX 5213;Epik;18.17;Schwedische Sprache und Literatur
GX 5214;Sonstige;18.17;Schwedische Sprache und Literatur
GX 5215;Allgemeines;18.17;Schwedische Sprache und Literatur
GX 5216;Bibliographien;18.17;Schwedische Sprache und Literatur
GX 5218;Literaturgeschichte;18.17;Schwedische Sprache und Literatur
GX 5220;Geistes- und Ideengeschichte;18.17;Schwedische Sprache und Literatur
GX 5222;Poetik;18.17;Schwedische Sprache und Literatur
GX 5224;Gattungs- und Formengeschichte;18.17;Schwedische Sprache und Literatur
GX 5226;Literaturkritik;18.17;Schwedische Sprache und Literatur
GX 5228;Beziehungen zu anderen Literaturen;18.17;Schwedische Sprache und Literatur
GX 5230;Textsammlungen, Anthologien;18.17;Schwedische Sprache und Literatur
GX 5232;Lyrik;18.17;Schwedische Sprache und Literatur
GX 5234;Epik;18.17;Schwedische Sprache und Literatur
GX 5236;Dramatik;18.17;Schwedische Sprache und Literatur
GX 5237;Sonstige;18.17;Schwedische Sprache und Literatur
GX 5238;Allgemeines;18.17;Schwedische Sprache und Literatur
GX 5240;Bibliographien;18.17;Schwedische Sprache und Literatur
GX 5242;Literaturgeschichte;18.17;Schwedische Sprache und Literatur
GX 5244;Geistes- und Ideengeschichte;18.17;Schwedische Sprache und Literatur
GX 5246;Poetik;18.17;Schwedische Sprache und Literatur
GX 5248;Gattungs- und Formengeschichte;18.17;Schwedische Sprache und Literatur
GX 5250;Literaturkritik;18.17;Schwedische Sprache und Literatur
GX 5252;Beziehungen zu anderen Literaturen;18.17;Schwedische Sprache und Literatur
GX 5254;Textsammlungen, Anthologien;18.17;Schwedische Sprache und Literatur
GX 5256;Lyrik;18.17;Schwedische Sprache und Literatur
GX 5258;Epik;18.17;Schwedische Sprache und Literatur
GX 5260;Dramatik;18.17;Schwedische Sprache und Literatur
GX 5262;Allgemeines;18.17;Schwedische Sprache und Literatur
GX 5264;Bibliographien;18.17;Schwedische Sprache und Literatur
GX 5266;Literaturgeschichte;18.17;Schwedische Sprache und Literatur
GX 5268;Geistes- und Ideengeschichte;18.17;Schwedische Sprache und Literatur
GX 5270;Poetik;18.17;Schwedische Sprache und Literatur
GX 5272;Gattungs- und Formengeschichte;18.17;Schwedische Sprache und Literatur
GX 5274;Literaturkritik;18.17;Schwedische Sprache und Literatur
GX 5278;Beziehungen zu anderen Literaturen;18.17;Schwedische Sprache und Literatur
GX 5280;Textsammlungen, Anthologien;18.17;Schwedische Sprache und Literatur
GX 5282;Lyrik;18.17;Schwedische Sprache und Literatur
GX 5284;Epik;18.17;Schwedische Sprache und Literatur
GX 5286;Dramatik;18.17;Schwedische Sprache und Literatur
GX 5288;Allgemeines;18.17;Schwedische Sprache und Literatur
GX 5290;Bibliographien;18.17;Schwedische Sprache und Literatur
GX 5292;Literaturgeschichte;18.17;Schwedische Sprache und Literatur
GX 5294;Geistes- und Ideengeschichte;18.17;Schwedische Sprache und Literatur
GX 5296;Poetik;18.17;Schwedische Sprache und Literatur
GX 5298;Gattungs- und Formengeschichte;18.17;Schwedische Sprache und Literatur
GX 5300;Literaturkritik;18.17;Schwedische Sprache und Literatur
GX 5302;Beziehungen zu anderen Literaturen;18.17;Schwedische Sprache und Literatur
GX 5304;Textsammlungen, Anthologien;18.17;Schwedische Sprache und Literatur
GX 5306;Lyrik;18.17;Schwedische Sprache und Literatur
GX 5308;Epik;18.17;Schwedische Sprache und Literatur
GX 5310;Dramatik;18.17;Schwedische Sprache und Literatur
GX 5312;Allgemeines;18.17;Schwedische Sprache und Literatur
GX 5314;Bibliographien;18.17;Schwedische Sprache und Literatur
GX 5316;Literaturgeschichte;18.17;Schwedische Sprache und Literatur
GX 5318;Geistes- und Ideengeschichte;18.17;Schwedische Sprache und Literatur
GX 5320;Poetik;18.17;Schwedische Sprache und Literatur
GX 5322;Gattungs- und Formengeschichte;18.17;Schwedische Sprache und Literatur
GX 5324;Literaturkritik;18.17;Schwedische Sprache und Literatur
GX 5326;Beziehungen zu anderen Literaturen;18.17;Schwedische Sprache und Literatur
GX 5328;Textsammlungen, Anthologien;18.17;Schwedische Sprache und Literatur
GX 5330;Lyrik;18.17;Schwedische Sprache und Literatur
GX 5332;Epik;18.17;Schwedische Sprache und Literatur
GX 5334;Dramatik;18.17;Schwedische Sprache und Literatur
GX 5340;Allgemeines;18.17;Schwedische Sprache und Literatur
GX 5342;Bibliographien;18.17;Schwedische Sprache und Literatur
GX 5344;Literaturgeschichte;18.17;Schwedische Sprache und Literatur
GX 5346;Geistes- und Ideengeschichte;18.17;Schwedische Sprache und Literatur
GX 5348;Poetik;18.17;Schwedische Sprache und Literatur
GX 5350;Gattungs- und Formengeschichte;18.17;Schwedische Sprache und Literatur
GX 5352;Literaturkritik;18.17;Schwedische Sprache und Literatur
GX 5354;Beziehungen zu anderen Literaturen;18.17;Schwedische Sprache und Literatur
GX 5356;Textsammlungen, Anthologien;18.17;Schwedische Sprache und Literatur
GX 5358;Lyrik;18.17;Schwedische Sprache und Literatur
GX 5360;Epik;18.17;Schwedische Sprache und Literatur
GX 5362;Dramatik;18.17;Schwedische Sprache und Literatur
GX 5364;Film;18.17;Schwedische Sprache und Literatur
GX 5364;Film;24.30;Film: Allgemeines
sourcenotation;sourcepreflabel;targetnotation;targetpreflabel
GX 9900;Allgemeines;18.15;Skandinavische Sprachen und Literaturen
GX 9900;Allgemeines;17.70;Literaturwissenschaft: Allgemeines
GX 9903;Bibliographien;18.15;Skandinavische Sprachen und Literaturen
GX 9903;Bibliographien;17.70;Literaturwissenschaft: Allgemeines
GX 9905;Lexika;18.15;Skandinavische Sprachen und Literaturen
GX 9905;Lexika;17.70;Literaturwissenschaft: Allgemeines
GX 9920;Allgemeines;18.15;Skandinavische Sprachen und Literaturen
GX 9920;Allgemeines;17.70;Literaturwissenschaft: Allgemeines
GX 9920;Allgemeines;17.71;Literaturgeschichte
GX 9930;Lyrik;18.15;Skandinavische Sprachen und Literaturen
GX 9930;Lyrik;17.83;Lyrik
GX 9940;Prosa;18.15;Skandinavische Sprachen und Literaturen
GX 9940;Prosa;17.81;Epik, Prosa
GX 9950;Dramatik;18.15;Skandinavische Sprachen und Literaturen
GX 9950;Dramatik;17.82;Dramatik
GX 9960;Sonstiges;18.15;Skandinavische Sprachen und Literaturen
GX 9960;Sonstiges;17.99;Literaturwissenschaft: Sonstiges
GX 9970;Textsammlungen, Anthologien;18.15;Skandinavische Sprachen und Literaturen
GX 9970;Textsammlungen, Anthologien;17.98;Textsammlungen
sourcenotation;sourcepreflabel;targetnotation;targetpreflabel
GY 1000;Allgemeines;17.70;Literaturwissenschaft: Allgemeines
GY 1003;Bibliographien;17.70;Literaturwissenschaft: Allgemeines
GY 1005;Lexika;17.70;Literaturwissenschaft: Allgemeines
GY 1020;Allgemeines;17.70;Literaturwissenschaft: Allgemeines
GY 1200;Allgemeines;17.70;Literaturwissenschaft: Allgemeines
GY 1203;Bibliographien;17.70;Literaturwissenschaft: Allgemeines
GY 1205;Lexika;17.70;Literaturwissenschaft: Allgemeines
GY 1220;Allgemeines;17.70;Literaturwissenschaft: Allgemeines
GY 1020;Allgemeines;17.71;Literaturgeschichte
GY 1220;Allgemeines;17.71;Literaturgeschichte
GY 1040;Prosa;17.81;Epik, Prosa
GY 1240;Prosa;17.81;Epik, Prosa
GY 1050;Dramatik;17.82;Dramatik
GY 1250;Dramatik;17.82;Dramatik
GY 1030;Lyrik;17.83;Lyrik
GY 1230;Lyrik;17.83;Lyrik
GY 1070;Textsammlungen, Anthologien;17.98;Textsammlungen
GY 1270;Textsammlungen, Anthologien;17.98;Textsammlungen
GY 1060;Sonstiges;17.99;Literaturwissenschaft: Sonstiges
GY 1260;Sonstiges;17.99;Literaturwissenschaft: Sonstiges
GY 1000;Allgemeines;18.17;Schwedische Sprache und Literatur
GY 1003;Bibliographien;18.17;Schwedische Sprache und Literatur
GY 1005;Lexika;18.17;Schwedische Sprache und Literatur
GY 1020;Allgemeines;18.17;Schwedische Sprache und Literatur
GY 1030;Lyrik;18.17;Schwedische Sprache und Literatur
GY 1040;Prosa;18.17;Schwedische Sprache und Literatur
GY 1050;Dramatik;18.17;Schwedische Sprache und Literatur
GY 1060;Sonstiges;18.17;Schwedische Sprache und Literatur
GY 1070;Textsammlungen, Anthologien;18.17;Schwedische Sprache und Literatur
GY 1200;Allgemeines;18.17;Schwedische Sprache und Literatur
GY 1203;Bibliographien;18.17;Schwedische Sprache und Literatur
GY 1205;Lexika;18.17;Schwedische Sprache und Literatur
GY 1220;Allgemeines;18.17;Schwedische Sprache und Literatur
GY 1230;Lyrik;18.17;Schwedische Sprache und Literatur
GY 1240;Prosa;18.17;Schwedische Sprache und Literatur
GY 1250;Dramatik;18.17;Schwedische Sprache und Literatur
GY 1260;Sonstiges;18.17;Schwedische Sprache und Literatur
GY 1270;Textsammlungen, Anthologien;18.17;Schwedische Sprache und Literatur
sourcenotation;sourcepreflabel;targetnotation;targetpreflabel
GE 9001 ;Allgemeines;18.10;Deutsche Literatur
GE 9001 ;Allgemeines;17.70;Literaturwissenschaft: Allgemeines
GE 9102;Literaturwissenschaft;18.10;Deutsche Literatur
GE 9102;Literaturwissenschaft;17.70;Literaturwissenschaft: Allgemeines
GE 9203;Gesamtdarstellungen;18.10;Deutsche Literatur
GE 9203;Gesamtdarstellungen;17.71;Literaturgeschichte
GE 9220;Darstellung unter besonderen Gesichtspunkten;18.10;Deutsche Literatur
GE 9220;Darstellung unter besonderen Gesichtspunkten;17.71;Literaturgeschichte
GE 9280;Geschichte der regionalen und mundartlichen Literatur;18.10;Deutsche Literatur
GE 9280;Geschichte der regionalen und mundartlichen Literatur;17.87;Besondere Literaturkategorien
GE 9301;Darstellung nach Gattungen;18.10;Deutsche Literatur
GE 9301;Darstellung nach Gattungen;17.71;Literaturgeschichte
GE 9310;Geistes- und Ideengeschichte;18.10;Deutsche Literatur
GE 9310;Geistes- und Ideengeschichte;17.71;Literaturgeschichte
sourcenotation;sourcepreflabel;targetnotation;targetpreflabel
GE 9331;Allgemeines;18.10;Deutsche Literatur
GE 9331;Allgemeines;17.97;Texte eines einzelnen Autors
GE 9331;Allgemeines;17.98;Textsammlungen
GE 9335; Beichten (Erste bairische Beichte und St. Emmeramer Gebet, Lorscher Beichte, Mainzer Beichte; zweite bairische Beichte) ;18.10;Deutsche Literatur
