sourcenotation;targetnotation;type
4000430-2;005.133;broad
4000457-0;629.836;broad
4000464-8;1--08621;broad
4000464-8;305.522;close
4000464-8;929.7;broad
4000464-8;390.23;close
4000471-5;2--4945415;broad
4000493-4;541.33;broad
4000497-1;415.5;close
4000497-1;4--55;broad
4000522-7;204.41;broad
4000522-7;362.734;close
4000522-7;364.18;broad
4000526-4;573.84;broad
4000536-7;541.335;close
4000537-9;263.91;broad
4000537-9;263.912;close
4000538-0;286.7;close
4000540-9;263.912;related
4000540-9;394.2663;broad
4000541-0;394.2663;broad
4000541-0;688.726;related
4000541-0;745.59412;broad
4000547-1;2--54824;broad
4000556-2;2--62;close
4000567-7;530.15;broad
4000571-9;331.398;close
4000586-0;152.47;close
4000586-0;179.8;related
4000589-6;533.62;close
4000589-6;620.1074;broad
4000589-6;629.1323;related
4000595-1;541.34515;close
4000595-1;615.19;broad
4000595-1;615.836;related
4000595-1;660.294515;close
4000597-5;526.33;broad
4000604-9;344.04121;broad
4000610-4;610.715;broad
4000612-8;266;close
4000615-3;610.76;broad
4000617-7;344.0411;broad
4000617-7;615.5;related
4000626-8;111.85;close
4000626-8;801.93;broad
4000626-8;770.1;close
4000628-1;370.11;broad
4000629-3;111.85;broad
4000631-1;551.4618;close
4000631-1;627.124;broad
4000631-1;577.786;close
4000636-0;299.935;related
4000636-0;530.1;broad
4000637-2;547.71;close
4000637-2;661.806;broad
4000646-3;616.071;close
4000666-9;599.8;close
4000666-9;616.02738;related
4000690-6;615.95295657;close
4000690-6;616.362071;related
4000695-5;2--6;exact
4000700-5;289.93;exact
4000709-1;299.6;close
4000724-8;264.04;broad
4000732-7;152.47;close
4000732-7;153.8;broad
4000747-9;616.8552;close
4000752-2;382.41;broad
4000757-1;338.109;close
4000764-9;332.71;exact
4000764-9;338.18;broad
4000766-2;577.55;related
4000766-2;333.76;broad
4000767-4;338.1;broad
4000769-8;577.55;broad
4000771-6;338.18;exact
4000775-3;343.076;close
4000775-3;344.0957;related
4000776-5;333.31;broad
4000776-5;346.044;close
4000778-9;306.349;related
4000778-9;338.1;broad
4000778-9;630;related
4000780-7;306.349;broad
4000782-0;382.41;broad
4000788-1;630.24;exact
4000801-0;2--435611;broad
4000819-8;2--435127;broad
4000827-7;2--434324;exact
4000831-9;2--43377;exact
4000838-1;2--434714;broad
4000844-7;796.8154;close
4000853-8;636.755;broad
4000881-2;305.553;broad
4000881-2;331.70235;related
4000881-2;331.71;broad
4000883-6;305.55;broad
4000883-6;331.70235;related
4000883-6;331.71;broad
4000883-6;305.482222;close
4000888-5;378.1213;broad
4000888-5;371.104;close
4000897-6;2--431862;broad
4000910-5;332.77;close
4000910-5;346.096;broad
4000911-7;303.482;broad
4000925-7;651.5;related
4000932-4;332.6322;close
4000932-4;346.0666;broad
4000933-6;332.63221;close
4000937-3;338.74;close
4000947-6;338.74;broad
4000954-3;415.6;broad
4000957-9;300.72;broad
4000970-1;152;related
4000973-7;303.484;related
4000977-4;662.93;broad
4000977-4;628.166;related
4000978-6;757.2;exact
4000979-8;778.921;close
4000979-8;779.21;exact
4000985-3;615.8222;close
4000986-5;615.892;close
4000986-5;636.0895892;broad
4000988-9;534;close
4000989-0;614.5999485;broad
4000996-8;303.38;broad
