fromNotation;x;y;z;toNotation
WD 5900;100;1;100;572.58
WD 5970;;;;
WD 8000 - WD 8250;100;1;100;571.77
WD 8000;100;1;100;571.77
WD 8050;100;2;25;571.77
WD 8100;100;2;25;571.77
WD 8150;100;2;25;571.77
WD 8200;100;2;25;571.77
WD 8250;100;2;25;571.77
WD 9000;100;1;100;570.1
WD 9200;100;1;100;570.11
WD 9200;100;1;100;570.11
WD 9240;100;2;50;570.15161
WD 9280;;;;
WD 9350;100;1;100;570.15196
WD 9400;100;1;100;578.012
WE;100;1;100;571.6
WE 1000;100;2;50;571.6
WE 1200;50;4;50;571.603
WE 1200;50;4;50;571.6021
WE 1400;100;2;25;571.6
WE 1600;100;2;25;571.6
WE 1800;100;2;25;571.6
WE 2000 - WE 2039;100;2;50;571.6
WE 2000;100;2;50;571.6
WE 2001 - WE 2004;;;;
WE 2001;;;;
WE 2002;100;1;100;571.62
WE 2003;100;1;100;571.61
WE 2004;100;1;100;571.6199
WE 2005 - WE 2039;;;;
WE 2005;100;2;25;571.629
WE 2006;100;2;25;571.629
WE 2007;100;2;25;571.629
WE 2008;100;1;100;571.628
WE 2009;100;2;50;571.62
WE 2010;100;1;100;571.627
WE 2011;100;2;50;571.62
WE 2012;100;1;100;571.625
WE 2013;100;2;50;571.62
WE 2013;50;3;100;571.623
WE 2014;100;1;100;571.624
WE 2015;100;2;25;571.629
WE 2016;100;1;100;571.612
WE 2017;50;3;100;571.6134
WE 2017;50;3;100;571.6135
WE 2018;100;2;50;571.612
WE 2018;25;3;100;571.61466
WE 2019;100;1;100;571.615
WE 2020;100;1;100;571.6156
WE 2020;50;4;50;571.6157
WE 2021;100;1;100;571.6157
WE 2022;100;1;100;571.6154
WE 2023;100;1;100;571.6153
WE 2024;50;4;50;571.6123
WE 2024;50;3;100;571.614
WE 2025;25;3;100;571.61238
WE 2025;50;3;100;571.6138
WE 2025;50;3;100;571.6139
WE 2026;100;1;100;571.616
WE 2027;100;1;100;571.617
WE 2028;100;1;100;571.6178
WE 2029;100;1;100;571.6179
WE 2030;100;1;100;571.618
WE 2031;100;1;100;571.619
WE 2032;100;1;100;571.6192
WE 2033;50;3;100;571.61933
WE 2033;50;3;100;571.6194
WE 2034;100;1;100;571.6197
WE 2035;50;3;100;571.6195
WE 2035;50;3;100;571.619633
WE 2036;100;1;100;571.6196
WE 2037;25;4;50;571.61931
WE 2037;25;3;100;571.61955
WE 2037;25;3;100;571.61967
WE 2037;25;3;100;571.61968
WE 2038;50;4;50;571.61931
WE 2038;50;3;100;571.61935
WE 2039;100;1;100;571.6198
WE 2100;100;1;100;571.633
WE 2200;100;2;25;571
WE 2300 - WE 2339;100;1;100;571.634
WE 2300;100;1;100;571.634
WE 2400 - WE 2439;50;3;100;571.74
WE 2400;50;3;100;571.74
WE 2400;50;4;50;572
WE 2500;100;2;50;571.84
WE 2800;100;1;100;571.835
WE 3000 - WE 4800;100;1;100;571.65
WE 3000;100;1;100;571.65
WE 3050;100;2;50;571.65
WE 3100;100;1;100;571.657
WE 3150;100;2;25;571.65
WE 3200;100;1;100;571.659
WE 3250;100;2;50;571.6592
WE 3300;100;1;100;571.658
WE 3350;100;2;50;571.655
WE 3400;100;2;50;571.654
WE 3450;100;2;50;571.655
WE 3500;100;2;50;571.655
WE 3650;100;1;100;571.656
WE 3700;100;2;25;571.65
WE 3750;100;2;25;571.67
WE 3800;100;2;25;571.65
WE 3850;100;2;25;571.65
