fromNotation;x;y;z;toNotation
VW 6150;50;4;50;633.88
VW 6200 - VW 8059;100;1;100;615.88
VW 6200;100;1;100;615.88
VW 6250;100;2;25;615.88
VW 6300;100;2;25;615.88
VW 8000;100;1;100;615.532
VW 8050;100;2;50;615.532
VW 9000;100;2;25;615.321
VX;100;1;100;615.19
VX 1000 - VX 1099;50;4;50;615.190021
VX 1000 - VX 1099;50;4;50;615.19003
VX 2000 - VX 4990;100;2;25;615.19
VX 5000 - VX 9959;100;2;50;615.19
VX 5000;100;2;50;615.19
VX 5010;100;2;25;615.19007
VX 5020;100;2;25;615.19007
VX 5075;25;4;25;378.242
VX 5100;100;2;50;615.190072
VX 5200;100;1;100;615.19001
VX 5500 - VX 8409;100;2;50;615.19
VX 8500;100;2;50;615.7
VX 8550;100;2;50;615.7
VX 8560;100;2;25;615.19
VX 8600 - VX 8859;;;;
VX 8600;50;4;25;614.48
VX 8660;50;4;50;615.18
VX 8800;100;1;100;677.8
VX 8850;100;2;25;617.9178
VX 9950;100;2;25;615.1
