fromNotation;toNotation
612.044;ZY 1600 - ZY 1760
612.044;ZX 9200 - ZX 9800
612.044;ZX 8550 - ZX 8555
612.044;WX 8200
612.1;WW 8200 - WW 8239
612.1;WW 7900
612.11;XG 6600 - XG 6628
612.11;YC 1600 - YC 2999
612.11;WW 8840
612.11;WW 8720
612.11;WW 8724
612.11;XI 4500 - XI 4599
612.11;WW 8800
612.111;WW 8844
612.111;WW 8840
612.1111;XL 5500
612.1111;WW 8844
612.1111;XI 4500
612.1111;WW 8840
612.1112;WW 8840
612.1112;WW 8844
612.112;WW 8844
612.112;WW 8840
612.1121;WW 8844
612.1121;XL 5500
612.1121;WW 8840
612.1121;XI 4500
612.1127;WW 8840
612.1127;WW 8844
612.115;YC 2900
612.115;WW 8960
612.116;WW 8800 - WW 8839
612.117;YC 1600 - YC 2999
612.117;WW 8964
612.117;WW 8960
612.1181;WW 8200
612.1181;WW  8204
612.1181;YC 1800 - YC 2299
612.1181;YR 5500 - YR 5599
612.1181;WD 2300
612.1181;WC 5150 - WC 5189
612.1182;XD 3200
612.11825;XL 4100 - XL 4199
612.11825;XD 3200
612.12;WW 9660
612.12;WD 5275
612.12;WW 8804
612.12;WW 9664
612.13;WW 8240
612.13;WW 8244
612.13;WW 8440
612.13;WW 8444
612.13;XG 6450 - XG 6478
612.13;YC 1000 - YC 1599
612.13;YC 1400 - YC 1499
612.13;YR 5500 - YR 5599
612.13;WW 8204
612.13;WW 8200
612.13;WW 7904
612.13;WW 7900
612.13 - 612.18;WW 7900
612.13 - 612.18;WW 7904
612.13 - 612.18;WW 8200
612.13 - 612.18;WW 8240
612.13 - 612.18;YR 5100-YR 5186
612.13 - 612.18;YR 5500-YR 5599
612.133;YC 1100 - YC 1199
612.134;YC 1200 - YC 1299
612.135;WW 8444
612.135;WW 8400
612.140287;YB 7700 - YB 7799
612.17;WW 7704
612.17;WW 7700
612.171;YB 8000
612.171;WW 7700
612.171;WW 7704
612.173;XI 4300 - XI 4399
612.178;WW 7700
612.178;WW 4120
612.18;WW 7704
612.18;WW 7700
612.2;YB 5700
612.2;WW 9300 - WW 9339
612.21;WD 2000 - WD 3100
612.21;WW 9300 - WW 9339
612.22;WE 2400 - WE 2439
612.22;WW 9300 - WW 9339
612.22;WW 9660
612.22;XG 2100 - XG 2199
612.22;WD 5000 - WD 5970
612.26;WW 9740
612.26;WW 9744
612.28;YB 5700
612.28;WW 9300
612.3;YC 4600 - YC 5899
612.3;XG 7400
612.3;WX 1000 - WX 3500
612.31;WX 1300
612.31;XG 7450 - XG 7478
612.31;WX 1400
612.311;WX 1504
612.311;WX 1300
612.311;WX 1500
612.311;WX 1304
612.311;YP 3000 - YP 3099
612.312;YP 4900 - YP 4999
612.312;YN 4900 - YN 4999
612.313;YR 6600 - YR 6699
612.313;WX 2954
612.313;WX 2950
612.313;WX 2750
612.315;YR 6700 - YR 6799
612.32;YC 4600 - YC 5899
612.32;WW 6760
612.32;WX 1600
612.32;WD 5848
612.32;XG 7550 - XG 7578
612.33;WW 6760
612.33;YC 5400 - YC 5499
612.33;WX 1600
612.33;XG 7550 - XG 7578
612.33;YC 4800 - YC 5099
612.34;WD 5812 - WD 5830
612.34;WW 6760
612.34;WX 1700
612.35;YC 5500
612.35;XG 7650 - XG 7678
612.35;WX 2000
612.36;WX 2750
612.36;YC 5300 - YC 5399
612.38;WX 1200
612.39;ZE 41000 - ZE 41099
612.39;XG 4100 - XG 4199
612.39;WX 3160
612.39;WX 3100
612.39;WD 5000 - WD 5970
612.39;WX 3500
612.391;YC 8400 - YC 8499
612.391;WX 1100 - WX 1139
612.392;WD 4750
612.392;WX 1000 - WX 3939
612.3923;WW 7084
612.3923;WW 7000
612.3923;WD 4600
612.3923;WW 7004
612.3924;WN 3400
612.3924;WX 3100
612.3924;YC 6300 - YC 6399
612.3926;WX 1000 - WX 3500
612.396;WX 2104
612.396;VK 8580 - VK 8589
612.396;WD 5500
612.396;WX 2100
612.397;WX 2300
612.397;VK 8520 - VK 8529
612.397;WD 5400
612.397;WX 2304
612.398;WX 2204
612.398;WX 2200
612.398;VK 8560 - VK 8569
612.398;WD 5085
612.398;WD 5100
612.399;WX 2504
612.399;WX 2500
612.399;WD 5900
612.399;VK 8660
612.4;YC 3000 - YC 4499
612.4;YC 1600 - YC 2999
612.4;WX 2750
612.4;WW 7280
