sourcenotation;targetnotation
343.012; MY 6850
343.012; MF 9400
343.0122; MY 6850
343.0122; PN 482 - PN 499
343.0122; PN 490
343.0126; PN 498
343.0126; MF 9400
343.013; QOa
343.013; PN 770
343.013; MY 5250
343.014; PS 3960
343.014; PN 494
343.014; PH 2400
343.014; PH 4280 
343.014; NT 3900
343.014; MY 9050
343.014; MY 9100
343.014; PR 2621
343.0143; MY 9150
343.0143; PR 2621
343.0146; MY 9050
343.0146; PR 2621
343.0146; PH 4280
343.015; PN 499
343.015693; PN 491
343.015693; PN 690
343.0157; PN 497
343.02; PN 258
343.023; PN 624
343.023; PD 6860 - PD 7120
343.023; PD 6340 - PD 6840
343.025; PN 576 
343.0252; PD 6220 - PD 6260
343.0252; PR 2352
343.0252; PR 2635
343.0252; PL 415
343.0252; PN 277
343.0252; PN 574
343.0253; PD 6340 - PD 6840
343.0256; PN 562 - PN 615 
343.03; PP 2000 - PP 2500
343.03; PS 3080
343.03; PP 6150 - PP 6159
343.032; PD 3700 - PD 3720
343.032; PP 2500 - PP 2509
343.0325; PN 755
343.0325; QM 340
343.0326; QK 900 - QK 950
343.026; QM 330
343.0326; PN 755
343.034; MF 9100
343.034; MF 5620
343.034; QL 200 - QL 300
343.034; PP 6060 - PP 6069
343.036; PN 344
343.036; PP 3400 - PP 3699
343.036; PN 255
343.036; QL 645
343.037; PP 2400 - PP 2409
343.037; QL 700 - QL 710
343.037; PN 756
343.037; QK 900
343.04; PP 3000 - PP 6969
343.04; PS 3940
343.04; PZ 3600
343.04; QL 500 - QL 550
343.04; PP 6910 - PP 6919
343.042; QK 651
343.042; QL 400
343.042; QL 820 
343.042; QL 830
343.042; QL 840
343.042; PP 3350 - PP 3369
343.043; PN 344
343.043; PP 3350 - PP 3809
343.043; PP 6900 - PP 6909
343.043; PL 385 
343.05; QL 600 - QL 645
343.05; PP 3900 - PP 6699
343.05; QL 600 - QL 645
343.052; PP 5500 - PP 6699
343.052; QL 611
343.05204; PP 5500 - PP 6699
343.052042; PP 3900 - PP 4199
343.052042; PP 6300 - PP 6309
343.052044; QL 611
343.052044; PP 5520 - PP 5529
343.052044; PP 3800 - PP 3809
343.052044; PP 3560 - PP 3569
343.0523; QL 410
343.0523; PP 4200 - PP 4499
343.0523; PP 6080 - PP 6089
