sourcenotation;x;y;z;targetnotation
TP 5237;50;4;25;554.724
TP 5239;50;4;25;554.3849
TP 5240;50;4;25;554.3822
TP 5241;50;4;25;554.385
TP 5300;100;2;25;554
TP 5305;100;1;100;554.94
TP 5310;100;1;100;554.943
TP 5315;100;1;100;554.945
TP 5320;100;1;100;554.947
TP 5325;100;1;100;554.3648
TP 5330;100;1;100;554.36
TP 5335;100;1;100;554.364
TP 5335;50;3;100;554.3642
TP 5335;50;3;100;554.3645
TP 5340;50;3;100;554.363
TP 5340;50;3;100;554.365
TP 5345;50;3;100;554.3612
TP 5345;50;3;100;554.362
TP 5350;50;3;100;554.3613
TP 5350;50;3;100;554.3615
TP 5355;100;2;25;554.36429
TP 5355;100;1;100;554.366
TP 5360;100;1;100;554.5383
TP 5400;100;1;100;554.92
TP 5410;100;2;50;554.92
TP 5420;100;1;100;554.93
TP 5430;100;1;100;554.935
TP 5450;100;2;50;554.3
TP 5470;100;1;100;554.38
TP 5480;100;1;100;554.37
TP 5490;100;2;25;554.371
TP 5500;100;1;100;554.8
TP 5515;100;1;100;554.89
TP 5515;100;2;25;554.915
TP 5530;100;1;100;554.81
TP 5530;25;3;100;554.82
TP 5530;25;3;100;554.83
TP 5530;25;3;100;554.84
TP 5545;100;1;100;554.85
TP 5545;25;3;100;554.86
TP 5545;25;3;100;554.87
TP 5545;25;3;100;554.88
TP 5560;100;1;100;554.897
TP 5575;100;1;100;554.912
TP 5600;100;2;25;554
TP 5605;100;1;100;554.4
TP 5610;50;3;100;554.426
TP 5610;50;3;100;554.427
TP 5610;50;3;100;554.428
TP 5615;100;1;100;554.41
TP 5615;50;3;100;554.42
TP 5620;100;2;50;554.43
TP 5625;100;1;100;554.47
TP 5625;25;3;100;554.459
TP 5625;50;3;100;554.46
TP 5630;50;4;50;554.45
TP 5630;50;4;50;554.49
TP 5630;50;3;100;554.44
TP 5635;50;3;100;554.48
TP 5635;50;4;50;554.49
TP 5640;100;1;100;554.499
TP 5645;50;3;100;554.438
TP 5645;50;3;100;554.439
TP 5650;100;1;100;554.1
TP 5655;50;3;100;554.21
TP 5655;50;3;100;554.22
TP 5655;50;3;100;554.23
TP 5660;25;3;100;554.24
TP 5660;25;3;100;554.25
TP 5660;50;3;100;554.26
TP 5660;50;3;100;554.29
TP 5665;50;3;100;554.11
TP 5665;25;3;100;554.12
TP 5665;25;3;100;554.13
TP 5665;25;3;100;554.14
TP 5665;25;3;100;554.27
TP 5665;25;3;100;554.28
TP 5670;100;1;100;554.15
TP 5670;25;3;100;554.16
TP 5670;25;3;100;554.17
TP 5670;25;3;100;554.18
TP 5670;25;3;100;554.19
TP 5675;25;3;100;554.113
TP 5675;25;3;100;554.114
TP 5675;25;3;100;554.228
TP 5675;25;3;100;554.234
TP 5675;25;3;100;554.2379
TP 5675;25;3;100;554.279
TP 5700;100;2;25;554
TP 5705;100;1;100;554.6
TP 5710;100;2;50;554.6
TP 5715;100;1;100;554.69
TP 5720;100;1;100;554.5
TP 5725;50;3;100;554.5
TP 5725;50;3;100;554.51
TP 5725;50;3;100;554.52
TP 5725;50;3;100;554.53
TP 5730;50;3;100;554.54
TP 5730;50;3;100;554.55
TP 5730;50;3;100;554.56
TP 5735;100;1;100;554.57
TP 5740;50;3;100;554.58
TP 5740;50;3;100;554.59
TP 5745;100;1;100;554.95
TP 5750;100;2;50;554.95
TP 5755;50;3;100;554.955
TP 5755;50;3;100;554.958
TP 5755;50;3;100;554.959
TP 5760;100;1;100;555.693
TP 5800;50;4;50;554.96
TP 5815;100;1;100;554.39
TP 5830;100;2;50;554.97
TP 5835;100;2;50;554.97
TP 5845;100;1;100;554.98
TP 5860;100;1;100;554.965
TP 5875;100;1;100;554.99
TP 5880;100;1;100;554.7
TP 5900;100;2;50;554.7
TP 5910;100;2;50;554.7
TP 5920;100;1;100;554.79
TP 5930;100;1;100;554.78
TP 5940;100;1;100;554.77
TP 5940;25;3;100;554.76
TP 5950;100;1;100;554.715
TP 5960;100;2;50;554.7
TP 5980;100;2;50;554.75
TP 5980;50;3;100;554.754
TP 5980;50;3;100;554.756
TP 5980;50;3;100;554.758
TP 6000;100;1;100;555.7
TP 6100;100;2;50;555.7
TP 6125;100;1;100;555.73
TP 6150;100;1;100;555.75
TP 6200;100;1;100;555.77
TP 6300;100;1;100;555.8
TP 6315;100;1;100;555.845
TP 6330;100;1;100;555.87
TP 6345;100;1;100;555.85
TP 6360;100;1;100;555.86
TP 6375;100;1;100;555.843
TP 6400;100;1;100;555
TP 6500;100;1;100;555.6
TP 6510;100;1;100;555.61
TP 6510;50;3;100;555.62-555.66
TP 6520;100;1;100;555.694
TP 6530;100;2;50;555.69
TP 6530;50;3;100;555.691
TP 6530;25;3;100;555.692
TP 6530;50;3;100;555.695
TP 6540;100;1;100;555.3
TP 6550;100;1;100;555.67
TP 6560;100;1;100;555.5
TP 6570;100;1;100;555.81
TP 6600;100;1;100;555.4
TP 6620;100;1;100;555.491
TP 6620;25;4;50;555.46
TP 6640;100;2;50;555.4
TP 6640;25;3;100;555.495
TP 6650;100;1;100;555.492
TP 6660;50;3;100;555.496
TP 6660;50;3;100;555.498
TP 6680;100;1;100;555.493
TP 6700;100;1;100;555.9
TP 6715;50;3;100;555.91
TP 6715;50;3;100;555.93
TP 6730;50;3;100;555.94
TP 6730;50;3;100;555.96
TP 6745;100;1;100;555.97
TP 6760;50;3;100;555.95
TP 6760;50;3;100;555.98
TP 6775;100;1;100;555.99
TP 6800;50;3;100;555.1
TP 6800;50;3;100;555.2
TP 6830;100;1;100;555.173
TP 6860;100;1;100;555.1
TP 6890;100;1;100;555.19
TP 6920;100;1;100;555.2
TP 6950;100;1;100;555.1249
TP 6950;25;3;100;555.229
TP 6980;50;3;100;555.125
TP 6980;50;3;100;555.126
TP 7000;100;1;100;556
TP 7100;50;3;100;556.1
TP 7115;100;1;100;556.4
TP 7130;100;1;100;556.5
TP 7145;100;1;100;556.11
TP 7160;100;1;100;556.12
TP 7175;100;2;50;556.2
TP 7175;50;3;100;556.21
TP 7175;50;3;100;556.22
TP 7175;50;3;100;556.23
TP 7200;50;4;50;556.6
TP 7225;100;1;100;556.48
TP 7250;100;1;100;556.61
TP 7260;50;3;100;556.623
TP 7260;50;3;100;556.625
TP 7275;50;3;100;556.626
TP 7275;50;3;100;556.743
TP 7280;100;1;100;556.24
TP 7280;50;3;100;556.25-556.29
TP 7300;50;4;50;556.6
TP 7400;100;1;100;556.63
TP 7400;50;3;100;556.651
TP 7420;50;4;50;556.65
TP 7420;50;3;100;556.652
TP 7420;50;3;100;556.657
TP 7440;50;3;100;556.64
TP 7440;50;3;100;556.662
TP 7450;50;3;100;556.668
TP 7450;50;3;100;556.67
TP 7460;100;1;100;556.68
TP 7470;100;1;100;556.69
TP 7480;100;1;100;556.711
TP 7490;50;3;100;556.715
TP 7490;50;3;100;556.718
TP 7490;50;3;100;556.721
TP 7500;50;4;50;556.7
TP 7520;50;3;100;556.741
TP 7540;50;3;100;556.724
TP 7540;50;3;100;556.751
TP 7560;100;1;100;556.73
TP 7600;25;4;50;556.76
TP 7625;50;3;100;556.3
TP 7625;50;3;100;556.77
TP 7650;100;1;100;556.762
TP 7660;100;1;100;556.761
TP 7670;100;1;100;556.757
TP 7680;100;1;100;556.78
TP 7700;100;1;100;556.8
TP 7730;100;1;100;556.79
TP 7760;100;1;100;556.897
TP 7790;100;1;100;556.894
TP 7820;100;1;100;556.891
TP 7850;100;1;100;556.883
TP 7880;100;1;100;556.881
TP 7910;100;2;50;556.8
TP 7910;50;3;100;556.82-556.87
TP 7910;25;3;100;556.885
TP 7910;25;3;100;556.887
TP 7940;;;;
TP 7970;50;3;100;554.698
TP 7970;50;3;100;556.49
TP 7970;50;3;100;556.658
TP 7980;100;1;100;556.9
TP 8000;50;4;50;557
TP 8100;100;1;100;557
TP 8200;100;1;100;557.1
TP 8220;100;2;50;557.19
TP 8240;50;3;100;557.13
TP 8240;50;3;100;557.14
TP 8240;50;3;100;557.15
TP 8240;25;3;100;557.16
TP 8240;25;3;100;557.17
TP 8240;25;3;100;557.18
TP 8260;100;1;100;557.12
TP 8260;25;3;100;557.192
TP 8260;25;3;100;557.193
TP 8280;100;1;100;557.11
TP 8280;25;3;100;557.191
TP 8300;100;1;100;557.3
TP 8320;100;2;50;557.4
TP 8320;100;1;100;557.41-557.46
TP 8340;100;2;50;557.4
TP 8340;50;3;100;557.47-557.49
TP 8340;50;3;100;557.51-557.53
TP 8360;100;2;50;557.5
TP 8360;50;3;100;557.54-557.59
TP 8380;100;2;50;557.7
TP 8380;50;3;100;557.71-557.75
TP 8400;50;4;50;557.7
TP 8400;50;3;100;557.76-557.78
TP 8400;50;4;50;557.8
TP 8400;50;3;100;557.81-557.84
TP 8420;100;2;50;557.6
TP 8420;25;3;100;557.61
TP 8420;50;3;100;557.66-557.69
TP 8440;100;2;50;557.6
TP 8440;50;3;100;557.62-557.64
TP 8460;50;4;50;557.8
TP 8460;50;3;100;557.86-557.89
TP 8460;50;3;100;557.91-557.93
TP 8460;25;3;100;557.96
TP 8480;100;2;50;557.9
TP 8480;50;3;100;557.94
TP 8480;50;3;100;557.95
TP 8480;50;3;100;557.97
TP 8500;100;1;100;557.98
TP 8600;50;3;100;558
TP 8700;100;1;100;557.2
TP 8720;100;2;50;557.2
TP 8720;100;1;100;557.21-557.27
TP 8740;100;1;100;557.28
TP 8760;100;1;100;557.29
TP 8800;100;1;100;558
TP 8825;50;3;100;558.7
TP 8825;50;3;100;558.8
TP 8850;50;3;100;558.4
TP 8850;50;3;100;558.5
TP 8850;50;3;100;558.6
TP 8875;100;1;100;558.3
TP 8900;100;1;100;558.1
TP 8925;100;1;100;558.2
TP 8925;50;3;100;558.9
TP 9000;100;2;50;559
TP 9100;100;1;100;559.4
TP 9125;50;3;100;559.41
TP 9125;50;3;100;559.429
TP 9125;50;4;50;559.43
TP 9150;50;3;100;559.423
TP 9150;50;4;50;559.43
TP 9150;50;3;100;559.44
TP 9150;50;3;100;559.45
TP 9150;25;3;100;559.47
TP 9175;100;1;100;559.46
TP 9200;100;1;100;559.3
TP 9300;100;2;50;559
TP 9325;100;1;100;559.5
TP 9350;100;1;100;559.65
TP 9350;50;3;100;559.66
TP 9375;100;1;100;559.6
TP 9400;50;4;50;559.8
TP 9500;50;4;50;559.8
TP 9550;100;1;100;559.82
TP 9600;50;4;50;557.19
TP 9650;100;2;50;559.8
TP 9700;100;1;100;559.89
TP 9800;100;1;100;551.461
TP 9820;100;1;100;551.46132
TP 9840;100;1;100;551.461324
TP 9860;100;1;100;551.461336
TP 9880;100;1;100;551.461334
TP 9900;100;1;100;551.46138
TP 9900;25;4;50;554.75
TP 9920;100;1;100;551.4613
TP 9940;100;1;100;551.4615
TP 9960;100;1;100;551.4614
TP 9980;100;1;100;551.4617
TQ - TX;100;1;100;560
TQ 1000;100;2;50;560
TQ 1005;;;;
TQ 1010;100;1;100;560.4
TQ 1012;100;2;50;560.41
TQ 1014;100;2;50;560.41
TQ 1016;;;;
sourcenotation;x;y;z;targetnotation
TQ 1018;;;;
TQ 1020;;;;
TQ 1022;100;1;100;560.43
TQ 1024;50;4;50;560.456
TQ 1030;100;2;50;560.28
TQ 1032;100;2;50;560.28
