fromNotation;toNotation;type
13252-1;4364048-5;exact
12823-3;4140128-1;exact
10267-3;4043136-8;broad
11061-4;4121690-8;related
15105-4;4237427-3;exact
19527-0;4201513-3;narrow
19527-0;4522311-7;narrow
19527-0;4042284-7;narrow
12972-0;4194787-3;exact
10854-2;4003836-1;exact
29625-1;4113377-8;related
19806-3;4290362-2;narrow
19806-3;4010450-3;narrow
19806-3;4199710-4;narrow
19806-3;4197505-4;narrow
19806-3;4150634-0;narrow
15696-4;4129108-6;exact
10077-1;4228433-8;exact
18798-2;4114574-4;related
12717-2;4131844-4;exact
12717-2;4004942-5;exact
14732-3;4022690-6;exact
10112-4;4124950-1;narrow
12192-5;4045283-9;exact
12192-5;4043368-7;exact
12845-0;4189650-6;exact
14328-3;4052673-2;exact
16743-2;4183388-0;exact
14487-4;4034610-9;exact
29550-6;7520052-1;exact
20506-5;4335202-9;broad
11330-3;4138427-1;narrow
11330-3;4177146-1;narrow
13277-6;4116579-2;exact
15657-0;4036034-9;related
13572-4;4062983-1;exact
10786-0;4163279-5;exact
15881-2;4031178-8;exact
10460-2;4047364-8;exact
14805-2;4173227-3;related
14805-2;4131382-3;related
13594-1;4267585-6;narrow
11818-1;4137661-4;broad
14438-3;7695119-4;related
28683-6;4022349-8;exact
18869-5;4207539-7;narrow
13051-4;4260022-4;narrow
13051-4;4514618-4;narrow
13051-4;4396343-2;narrow
13051-4;4126392-3;narrow
10948-0;4288708-2;related
29685-4;4265329-0;exact
29525-5;4443989-1;exact
16267-1;4008784-0;exact
13475-2;4127365-5;exact
13475-2;4126928-7;exact
18103-0;4161609-1;exact
12705-2;4026801-9;exact
10019-1;4219236-5;related
10641-5;4213502-3;exact
18292-6;4167189-2;related
18013-1;4012183-5;exact
15811-2;4352325-0;narrow
18680-4;4121272-1;related
13002-3;4418449-9;related
18965-2;4166051-1;narrow
18129-3;4205723-1;exact
18155-2;4177791-8;related
13360-5;4127998-0;exact
11348-5;4064644-0;narrow
11348-5;4003876-2;narrow
11348-5;4156597-6;narrow
11348-5;4224167-4;narrow
11348-5;4191513-6;narrow
11348-5;4710116-7;narrow
11348-5;4189890-4;narrow
11348-5;4175045-7;narrow
14539-4;4174558-9;related
10459-1;4345404-5;related
10459-1;4530279-0;related
10459-1;4423936-1;related
29569-6;4112598-8;exact
13308-0;4691631-3;narrow
13308-0;4239345-0;narrow
13308-0;4278061-5;narrow
29982-5;4120603-4;broad
11627-1;4013756-9;narrow
11627-1;4151169-4;narrow
11627-1;4151164-5;narrow
19185-2;4461711-2;exact
15463-6;4139583-9;exact
19181-3;4136831-9;exact
12170-1;4123429-7;exact
13244-0;4183580-3;exact
10852-6;4003834-8;narrow
14051-6;4250171-4;related
14051-6;4187930-2;related
14051-6;4544794-9;related
13357-1;4040795-0;exact
13780-4;4262898-2;broad
12950-3;4139263-2;related
12950-3;4178176-4;related
12950-3;4050076-7;related
12950-3;4145459-5;related
18932-3;4120719-1;exact
11648-0;4113322-5;exact
12497-4;4371396-8;exact
12427-4;4062990-9;related
10011-3;4241839-2;exact
10011-3;4264525-6;exact
10011-3;4129883-4;exact
10011-3;4164809-2;exact
10011-3;4014709-5;exact
10011-3;4235035-9;exact
10011-3;4135474-6;exact
10011-3;4292888-6;exact
10011-3;4474283-6;exact
10011-3;4032579-9;exact
10011-3;4027148-1;exact
10011-3;4138760-0;exact
10011-3;4507265-6;exact
10011-3;4198289-7;exact
10011-3;4189640-3;exact
10011-3;4162680-1;exact
10011-3;4126649-3;exact
10011-3;4278356-2;exact
10011-3;4203972-1;exact
10011-3;4264901-8;exact
10011-3;4121246-0;exact
10011-3;4049298-9;exact
10011-3;4133664-1;exact
10011-3;4376388-1;exact
13397-3;4044737-6;exact
12628-1;4179515-5;narrow
12628-1;4179528-3;narrow
12628-1;4229041-7;narrow
18874-5;4511371-3;related
18874-5;4208879-3;related
10177-4;4159290-6;related
10177-4;4132976-4;related
13829-0;4189681-6;narrow
13827-4;4133420-6;related
19114-4;4329391-8;exact
12062-4;4202362-2;narrow
12062-4;4208996-7;narrow
16579-3;4077628-1;exact
18165-6;4123870-9;narrow
18165-6;4501191-6;narrow
18165-6;4382601-5;narrow
18165-6;4501194-1;narrow
27683-4;4125453-3;exact
18755-6;4066796-0;broad
13077-0;4128679-0;exact
15739-5;4191578-1;related
11434-5;4040629-5;exact
11434-5;4352849-1;exact
29660-6;4378166-4;related
12820-2;4134287-2;exact
16671-1;4042868-0;narrow
15415-3;4033888-5;exact
11969-1;4293440-0;related
11969-1;4236158-8;related
18181-1;4066410-7;exact
10438-2;4132628-3;exact
10438-2;7637436-1;exact
13840-5;4013843-4;related
15073-5;4055746-7;exact
14341-4;4309139-8;related
11275-6;4128152-4;related
18178-4;4750981-8;broad
18397-6;4418986-2;exact
14269-0;4332642-0;related
14269-0;4206804-6;related
14190-6;4004990-5;related
13416-4;4115743-6;related
13416-4;4049496-2;related
13416-4;4177786-4;related
15971-1;4115710-2;exact
10512-2;4063234-9;exact
15909-6;4006287-9;exact
12563-3;4121463-8;exact
26882-3;4074722-0;exact
19566-4;4127578-0;related
19566-4;4036239-5;related
19566-4;4277319-2;related
19397-1;4329851-5;exact
13069-6;4520016-6;related
13069-6;4537401-6;related
19394-0;4358852-9;related
19394-0;4224648-9;related
11556-5;4122978-2;narrow
18412-1;4037790-8;related
14035-4;4030329-9;exact
12314-3;4160787-9;related
12997-5;4150816-6;exact
14794-2;4196937-6;related
20314-0;4816966-3;related
20314-0;4215140-5;related
15009-0;4301357-0;narrow
15009-0;4172777-0;narrow
15009-0;4324275-3;narrow
15009-0;4160186-5;narrow
15009-0;4125435-1;narrow
15009-0;4443965-9;narrow
15009-0;4128487-2;narrow
15009-0;4575540-1;narrow
15009-0;4113855-7;narrow
15009-0;4229531-2;narrow
11059-5;4055722-4;exact
11346-2;4126964-0;narrow
29807-2;4196510-3;broad
18929-6;4127335-7;exact
10894-4;4037642-4;related
13080-4;4126655-9;exact
18011-5;4201191-7;exact
12649-0;4132517-5;related
18192-3;4163000-2;narrow
14941-1;4394864-9;related
14941-1;4008366-4;related
14941-1;4264167-6;related
11735-5;4151342-3;related
14437-5;4040392-0;exact
13374-1;4537256-1;narrow
13374-1;4128774-5;narrow
13374-1;4223083-4;narrow
13374-1;4476811-4;narrow
13374-1;4164175-9;narrow
13374-1;4351865-5;narrow
18022-0;1041888279;narrow
18022-0;4203515-6;narrow
19767-1;4261476-4;narrow
11305-2;4026139-6;exact
11305-2;4002641-3;exact
18444-2;4071808-6;exact
11293-4;4144778-5;exact
20442-5;4456325-5;exact
13742-5;4395760-2;narrow
13742-5;4113375-4;narrow
13742-5;4138969-4;narrow
13742-5;4151066-5;narrow
13742-5;4246700-7;narrow
13742-5;7691674-1;narrow
13742-5;4113376-6;narrow
13742-5;7615792-1;narrow
13742-5;1054786836;narrow
13742-5;4226503-4;narrow
13742-5;4660889-8;narrow
13742-5;4274364-3;narrow
11158-3;4024842-2;exact
18975-6;4608796-5;exact
18975-6;4497164-3;exact
11271-0;4199060-2;exact
19839-2;4078570-1;exact
11812-6;4014736-8;exact
29570-0;1038393523;exact
28089-4;4212483-9;exact
18503-5;4124482-5;related
18503-5;4066780-7;related
18503-5;4481241-3;related
16204-4;4073678-7;related
15755-0;4179239-7;exact
15837-5;4144817-0;narrow
11336-5;4168091-1;exact
12521-5;4493461-0;narrow
12521-5;4226273-2;narrow
19821-0;4113702-4;related
19396-3;4135138-1;related
19396-3;7849411-4;related
14336-4;4037794-5;related
14285-2;4178347-5;narrow
14285-2;4014002-7;narrow
10658-2;4162131-1;exact
19088-0;4225886-8;narrow
19088-0;4226275-6;narrow
19088-0;4173976-0;narrow
19088-0;4179582-9;narrow
19088-0;4187744-5;narrow
19088-0;4032153-8;narrow
19088-0;4161150-0;narrow
19088-0;4121065-7;narrow
19088-0;4209030-1;narrow
19088-0;4165575-8;narrow
29832-3;4036037-4;exact
14728-1;4003115-9;exact
10985-1;4129671-0;exact
10985-1;4129669-2;exact
10830-2;4057433-7;exact
24665-0;4456667-0;related
29988-0;1033604003;exact
10020-2;4056023-5;exact
13246-3;4004361-7;related
13246-3;4017688-5;related
15712-4;4079583-4;exact
12976-6;4048190-6;exact
18907-2;4023796-5;exact
11248-2;4196658-2;exact
11248-2;4113578-7;exact
12047-0;4251871-4;narrow
12047-0;4115404-6;narrow
16353-1;4079009-5;exact
10486-5;4001863-5;exact
10486-5;4068576-7;exact
29202-1;4406690-9;narrow
29202-1;4406691-0;narrow
10836-4;4304066-4;exact
10836-4;4134749-3;exact
10836-4;4114376-0;exact
10836-4;4374352-3;exact
10836-4;4673421-1;exact
10836-4;4219241-9;exact
10836-4;4050897-3;exact
10836-4;4615819-4;exact
10836-4;4191747-9;exact
10836-4;4235580-1;exact
10836-4;4425084-8;exact
10836-4;4641869-6;exact
10836-4;4425079-4;exact
10836-4;4269224-6;exact
10836-4;4616736-5;exact
10836-4;4615818-2;exact
10836-4;4218382-0;exact
10836-4;4283947-6;exact
10836-4;4201764-6;exact
10836-4;4301245-0;exact
10836-4;4603665-9;exact
10836-4;4162245-5;exact
10836-4;4016020-8;exact
10836-4;4332241-4;exact
10836-4;4301757-5;exact
10836-4;4425082-4;exact
10836-4;1036689859;exact
10836-4;4609869-0;exact
10836-4;4209152-4;exact
10836-4;4130991-1;exact
10836-4;4603666-0;exact
15941-3;4156176-4;related
15941-3;4156178-8;related
15941-3;4020118-1;related
18809-2;4034271-2;exact
15460-5;4528827-6;exact
15981-5;4126493-9;exact
10459-1;4027089-0;broad
18868-0;4190046-7;narrow
15220-4;4037612-6;exact
13397-3;4698404-5;narrow
13397-3;4208487-8;narrow
18450-0;4190621-4;exact
24708-1;4528977-3;exact
24708-1;4146889-2;exact
14121-4;4026050-1;narrow
13402-1;4203712-8;narrow
13402-1;4056433-2;narrow
19634-6;4002827-6;exact
19841-1;4156832-1;related
19841-1;4029081-5;related
12974-3;4259675-0;related
12974-3;4121177-7;related
12974-3;4014224-3;related
12974-3;4139998-5;related
12974-3;4133665-3;related
14158-2;4017269-7;exact
14158-2;4696250-5;exact
14775-6;4154505-9;exact
29779-2;4732699-2;broad
11101-4;4182654-1;exact
29821-1;4684051-5;broad
18971-0;4363384-5;narrow
10784-4;4023232-3;exact
16191-1;4139137-8;exact
19217-1;4161342-9;exact
29853-2;4185785-9;exact
29853-2;4033927-0;exact
29663-0;4063042-0;exact
13701-5;4123314-1;exact
18653-0;4184654-0;exact
11391-4;4145489-3;related
11391-4;4065275-0;related
14534-0;4123557-5;exact
19595-4;4408694-5;exact
11792-0;4121716-0;narrow
13010-4;4175406-2;exact
24707-3;4130047-6;related
11857-5;4397258-5;narrow
11857-5;4261178-7;narrow
11857-5;4322498-2;narrow
13218-1;4472675-2;narrow
13218-1;4129400-2;narrow
16754-4;4139159-7;narrow
16754-4;4135110-1;narrow
16754-4;4026925-5;narrow
16754-4;4614795-0;narrow
16754-4;4139840-3;narrow
14923-3;4187009-8;exact
29930-3;4211564-4;narrow
11496-4;4124773-5;exact
18278-0;4064596-4;exact
19188-3;4137371-6;exact
18399-2;4332642-0;related
18399-2;4038868-2;related
10110-1;4127097-6;exact
10387-0;4511640-4;narrow
10387-0;4251466-6;narrow
10387-0;4125634-7;narrow
10387-0;4508927-9;narrow
10564-4;4124859-4;exact
29679-6;7673876-0;exact
11197-0;4024098-8;exact
13224-6;4253326-0;narrow
13224-6;4151040-9;narrow
10527-3;4066527-6;related
18557-3;4270637-3;exact
12201-2;4303006-3;narrow
12201-2;4425124-5;narrow
12201-2;4188726-8;narrow
12201-2;4127123-3;narrow
19395-5;4140844-5;exact
19394-0;4321794-1;narrow
19394-0;4157188-5;narrow
19394-0;4352756-5;narrow
19394-0;4249080-7;narrow
14141-5;4177757-8;exact
29402-0;4265092-6;narrow
29402-0;4366915-3;narrow
29402-0;4500172-8;narrow
28952-5;4137788-6;exact
16621-2;4058132-9;narrow
16110-6;4057431-3;exact
10621-4;4027461-5;exact
15910-0;4144894-7;narrow
15910-0;4151441-5;narrow
13564-3;4272352-8;exact
12370-0;4141060-9;narrow
12370-0;4129194-3;narrow
14487-4;4166821-2;related
13348-2;4047701-0;related
13236-6;4225932-0;narrow
29615-4;4257369-5;exact
29615-4;4257143-1;exact
12119-1;4126974-3;related
30040-5;1026941148;exact
12974-3;4673879-4;narrow
19118-3;4121843-7;related
13343-5;4017909-6;exact
19628-1;4041414-0;exact
11551-1;4240064-8;narrow
18356-6;4133063-8;exact
14804-4;4334387-9;exact
11788-5;4123715-8;related
11788-5;4121714-7;related
11788-5;7507599-4;related
13011-2;4129132-3;exact
10436-6;4232772-6;related
10436-6;4125049-7;related
29838-5;4053168-5;exact
19773-6;4135279-8;narrow
19773-6;4116589-5;narrow
15770-4;4129778-7;related
15770-4;4652434-4;related
15770-4;4434808-3;related
15770-4;7675980-5;related
15770-4;4227905-7;related
29789-6;4224194-7;related
15340-1;4129903-6;exact
27104-4;4214151-5;exact
14960-4;4202972-7;exact
13658-1;4169187-8;exact
13658-1;4068939-6;exact
15520-6;4185966-2;exact
18788-5;4149173-7;exact
18788-5;4425811-2;exact
14728-1;4024069-1;broad
16340-3;4044685-2;exact
13525-6;4151496-8;exact
14957-0;4304230-2;exact
14596-6;4159153-7;narrow
16067-2;4525278-6;narrow
19241-4;4128259-0;exact
15775-1;4061655-1;exact
18492-5;4002851-3;exact
12119-1;4124562-3;exact
18169-5;4006230-2;exact
18518-6;4341335-3;related
14906-3;4168470-9;exact
14101-3;4256583-2;related
15711-6;7560208-8;narrow
15711-6;1025508335;narrow
15711-6;4332868-4;narrow
15711-6;7850981-6;narrow
15711-6;4068597-4;narrow
16692-0;4145064-4;narrow
16692-0;4138757-0;narrow
16717-3;4127749-1;exact
19627-3;4060131-6;exact
13095-5;4179824-7;exact
13095-5;4467828-9;exact
12165-1;4069386-7;exact
11507-4;4120485-2;exact
11281-4;4226696-8;related
11281-4;4196982-0;related
14024-2;4371888-7;narrow
14024-2;4371887-5;narrow
14024-2;4692364-0;narrow
19596-2;4056243-8;broad
18068-4;4048833-0;exact
14793-4;4165314-2;related
14793-4;4165313-0;related
16404-3;4048829-9;narrow
16404-3;4137178-1;narrow
16404-3;4041597-1;narrow
16404-3;4136650-5;narrow
12573-0;4121462-6;exact
12972-0;4396133-2;narrow
12972-0;4116467-2;narrow
12972-0;4260311-0;narrow
19014-1;4002405-2;exact
16357-0;4169300-0;narrow
16357-0;4187753-6;narrow
14173-6;4332657-2;related
12631-5;4167271-9;related
16059-1;4120514-5;narrow
13600-4;4155619-7;exact
29926-1;4027063-4;related
15498-1;4024772-7;exact
12210-1;4137411-3;exact
16656-4;4566442-0;narrow
16656-4;4157319-5;narrow
19457-2;4031110-7;exact
14135-0;4019681-1;exact
19274-3;4247913-7;narrow
19274-3;4247916-2;narrow
11447-3;4156421-2;exact
18493-3;4138433-7;related
20497-1;4343519-1;exact
14738-5;4124956-2;related
30060-6;4134792-4;exact
20241-1;4463036-0;exact
11713-1;4146845-4;exact
14294-1;4145879-5;exact
27565-3;4194332-6;broad
13250-5;4172577-3;narrow
13250-5;4224968-5;narrow
13250-5;4124085-6;narrow
14404-6;4024257-2;narrow
14404-6;4159473-3;narrow
14404-6;4137119-7;narrow
14404-6;4137711-4;narrow
14412-0;4129433-6;narrow
10169-3;4112565-4;exact
10798-0;4128578-5;related
10798-0;4254139-6;related
10996-3;4137896-9;exact
18719-3;4069130-5;exact
18719-3;4337888-2;exact
13429-2;4073994-6;narrow
13429-2;4172343-0;narrow
13429-2;4156577-0;narrow
13429-2;4197958-8;narrow
13429-2;4154469-9;narrow
13429-2;4241039-3;narrow
13429-2;4513086-3;narrow
13429-2;4212807-9;narrow
13429-2;4152980-7;narrow
29948-5;4316989-2;exact
12105-5;4126887-8;related
12105-5;4193240-7;related
12105-5;4404560-8;related
12105-5;4214693-8;related
14794-2;4179891-0;exact
19458-0;4070548-1;exact
16724-6;4058129-9;exact
10944-1;4192823-4;exact
13341-2;4002859-8;exact
13364-4;4059702-7;exact
14205-5;4163054-3;exact
14205-5;4051413-4;exact
11370-5;4016172-9;exact
11370-5;4132417-1;exact
13393-4;4030702-5;exact
13393-4;4163900-5;exact
10838-0;4246784-6;exact
10838-0;4304232-6;exact
10838-0;4299974-1;exact
10838-0;4026665-5;exact
10838-0;4015185-2;exact
10838-0;4711965-2;exact
10838-0;4777281-5;exact
10838-0;4388073-3;exact
10838-0;4233054-3;exact
10838-0;4603696-9;exact
10838-0;4204793-6;exact
10838-0;4209153-6;exact
10838-0;4219243-2;exact
10838-0;4436780-6;exact
10838-0;4299976-5;exact
10838-0;4252364-3;exact
10838-0;4377804-5;exact
10838-0;4316765-2;exact
10838-0;4196013-0;exact
10838-0;4301244-9;exact
10838-0;4299972-8;exact
10838-0;4603699-4;exact
10838-0;4299975-3;exact
10838-0;4303572-3;exact
10838-0;4308857-0;exact
19215-5;4634310-6;narrow
18958-6;4205149-6;exact
13844-4;4027151-1;broad
15340-1;4127971-2;narrow
15340-1;4177449-8;narrow
15340-1;4624309-4;narrow
15340-1;4209029-5;narrow
15340-1;4127980-3;narrow
15340-1;4271471-0;narrow
15340-1;4323724-1;narrow
15340-1;4124382-1;narrow
15340-1;4618882-4;narrow
15340-1;4436517-2;narrow
15340-1;4663361-3;narrow
15928-2;4074724-4;narrow
29655-6;7568734-3;exact
13699-1;4141730-6;exact
12925-2;4670281-7;narrow
12925-2;4538829-5;narrow
18076-5;4163511-5;exact
13384-5;1027108679;related
13384-5;4203421-8;related
13384-5;4277320-9;related
13384-5;4198341-5;related
18007-3;4544454-7;related
14464-2;4166384-6;related
16788-1;4120488-8;exact
16788-1;4132784-6;exact
13496-1;4054385-7;exact
12963-1;4006757-9;exact
16363-5;4167551-4;exact
19810-5;4293034-0;exact
10022-5;4117280-2;exact
15466-0;4268621-0;narrow
15466-0;4126083-1;narrow
15466-0;4113444-8;narrow
15466-0;4225065-1;narrow
15466-0;4126081-8;narrow
15466-0;4113446-1;narrow
15466-0;4390843-3;narrow
15466-0;4127732-6;narrow
15466-0;4121202-2;narrow
15466-0;4219272-9;narrow
15466-0;4200173-0;narrow
18599-1;4158717-0;related
29228-4;7511891-9;related
12643-5;4220570-0;exact
12281-6;4162261-3;related
12281-6;4027582-6;related
18279-5;4062670-2;exact
19746-2;4145244-6;exact
14461-1;4116564-0;exact
13306-4;7707139-6;narrow
13306-4;4049594-2;narrow
13306-4;4386072-2;narrow
13306-4;7576603-6;narrow
13306-4;4140697-7;narrow
13306-4;4541309-5;narrow
13306-4;4216587-8;narrow
13824-3;7860336-5;narrow
10975-4;4043214-2;exact
10975-4;4233109-2;exact
29596-3;4165458-4;exact
15661-2;4396689-5;related
11191-5;4203335-4;related
11191-5;4144852-2;related
11191-5;4152363-5;related
13486-4;4033994-4;exact
11049-1;4266708-2;exact
11490-2;4067850-7;exact
13229-3;4517912-8;narrow
16159-4;4523864-9;narrow
16159-4;4136204-4;narrow
13499-2;4125127-1;exact
29897-3;4299509-7;exact
13541-1;4029459-6;exact
19631-5;4114551-3;related
16615-4;4152304-0;narrow
16615-4;4247490-5;narrow
16615-4;4000911-7;narrow
14337-2;4165864-4;exact
20104-4;4764048-0;exact
10324-3;4502326-8;exact
10300-3;4131869-9;narrow
10300-3;4170589-0;narrow
10300-3;4163506-1;narrow
10300-3;4165118-2;narrow
10300-3;4151328-9;narrow
10300-3;4749736-1;narrow
10300-3;4073328-2;narrow
12640-4;4013874-4;narrow
12640-4;4298863-9;narrow
12640-4;4431198-9;narrow
12640-4;4213503-5;narrow
12640-4;4131992-8;narrow
12640-4;4196815-3;narrow
12640-4;7730548-6;narrow
12640-4;4144858-3;narrow
15708-2;4006292-2;exact
12297-5;4050856-0;exact
11987-6;4056775-8;exact
13667-0;4016854-2;exact
15677-1;4062781-0;exact
16112-2;4226469-8;related
11718-5;4043179-4;exact
15907-3;4003725-3;exact
13350-1;4066573-2;exact
14270-1;4182850-1;related
13753-0;4190931-8;exact
12491-2;4154493-6;exact
12974-3;4014228-0;exact
12942-2;4285888-4;related
11790-4;4245206-5;related
10736-1;4017520-0;exact
19035-0;4174809-8;narrow
19035-0;4424068-5;narrow
19035-0;4338130-3;narrow
19035-0;4233398-2;narrow
18069-2;4164199-1;exact
18188-1;4190930-6;exact
11039-4;4204027-9;related
11039-4;4151076-8;related
11039-4;4151072-0;related
14683-4;4743867-8;related
29933-4;4045660-2;exact
19398-6;4055001-1;exact
14464-2;4004687-4;exact
16650-2;4375623-2;narrow
29522-4;4000947-6;broad
27928-0;7729186-4;exact
14602-2;4025742-3;narrow
14602-2;4016993-5;narrow
14602-2;4378520-7;narrow
14602-2;4133871-6;narrow
14602-2;4112451-0;narrow
14602-2;4142729-4;narrow
14602-2;4036160-3;narrow
14602-2;4379906-1;narrow
14602-2;4471450-6;narrow
14602-2;4154557-6;narrow
14602-2;4155501-6;narrow
14602-2;4128790-3;narrow
18614-3;4162070-7;exact
14824-5;4137152-5;exact
10051-5;4172486-0;exact
19356-1;4161424-0;exact
16034-3;4236352-4;related
14962-0;4185477-9;exact
15023-6;4138256-0;exact
12419-3;4206570-7;exact
13735-2;4126185-9;related
13735-2;4381644-7;related
13735-2;4407066-4;related
13670-4;4067510-5;exact
11703-4;4125519-7;exact
18198-5;4020792-4;exact
19396-3;4328537-5;exact
10764-3;4177177-1;related
30045-2;4129300-9;related
11494-1;4161661-3;exact
15088-6;4125507-0;related
15088-6;4034866-0;related
12042-3;4008807-8;exact
29236-5;4423007-2;exact
15330-4;4417806-2;narrow
15330-4;4166700-1;narrow
15330-4;4204249-5;narrow
15330-4;4163204-7;narrow
15330-4;4269333-0;narrow
15330-4;4319407-2;narrow
15330-4;4564796-3;narrow
13209-2;4022201-9;exact
13209-2;4699900-0;exact
13209-2;4180079-5;exact
18067-6;4225200-3;related
18067-6;4022892-7;related
18067-6;4051927-2;related
19023-0;4121128-5;exact
19023-0;4064432-7;exact
15176-2;4191098-9;narrow
15176-2;4279547-3;narrow
15176-2;4220425-2;narrow
11481-3;4398149-5;related
13177-3;4022320-6;narrow
13177-3;4061215-6;narrow
13177-3;4015133-5;narrow
13177-3;4008493-0;narrow
12564-1;4123928-3;related
18209-5;4121932-6;narrow
18994-2;4063197-7;exact
13350-1;4474169-8;narrow
13350-1;4161886-5;narrow
13350-1;4160196-8;narrow
13350-1;4182209-2;narrow
13350-1;4153478-5;narrow
13350-1;4190099-6;narrow
13350-1;4133334-2;narrow
18915-3;4024153-1;exact
20744-3;4162079-3;broad
14914-4;4133704-9;exact
13840-5;4287544-4;narrow
13840-5;4126829-5;narrow
13840-5;4013770-3;narrow
13840-5;4121681-7;narrow
13840-5;4066789-3;narrow
13840-5;4221752-0;narrow
13840-5;4827402-1;narrow
14004-1;4003982-1;narrow
14004-1;4258697-5;narrow
14004-1;4053311-6;narrow
14004-1;4167349-9;narrow
14004-1;7713082-0;narrow
14004-1;4028781-6;narrow
14004-1;4416257-1;narrow
14004-1;4372905-8;narrow
14004-1;4211944-3;narrow
14004-1;4352068-6;narrow
14004-1;4177294-5;narrow
14004-1;4053309-8;narrow
14004-1;4028786-5;narrow
14004-1;4175649-6;narrow
14004-1;4350506-5;narrow
13818-5;4499584-2;narrow
11713-1;4124582-9;narrow
15643-4;4018968-5;exact
29766-4;4144763-3;exact
20756-3;4194151-2;exact
14281-3;4154128-5;related
14281-3;4035035-6;related
16619-3;4174905-4;narrow
11665-0;4163933-9;exact
11665-0;4494342-8;exact
13813-1;4073750-0;exact
14146-2;4128660-1;exact
19847-3;4019741-4;exact
11771-1;4014843-9;exact
29381-3;4125287-1;exact
19473-4;4209289-9;narrow
10187-1;4131854-7;narrow
15599-2;4038398-2;narrow
15599-2;4208537-8;narrow
15599-2;4658854-1;narrow
15599-2;4238872-7;narrow
15599-2;4199974-5;narrow
15599-2;4315403-7;narrow
15599-2;4588594-1;narrow
15599-2;4179149-6;narrow
15599-2;4621481-1;narrow
15599-2;7545389-7;narrow
13818-5;4063177-1;exact
21072-0;4121863-2;exact
19481-5;7547705-1;exact
18112-6;4121762-7;related
19697-3;4019993-9;exact
18943-5;4395756-0;narrow
13665-4;4306833-9;narrow
13665-4;4129430-0;narrow
13665-4;4025408-2;narrow
13665-4;4234160-7;narrow
16440-6;7732144-3;narrow
13427-6;4174353-2;narrow
19802-4;4226008-5;exact
16364-3;4061639-3;related
16364-3;4322027-7;related
14473-1;4193392-8;exact
14473-1;4377480-5;exact
13504-0;4153563-7;related
13504-0;7840012-0;related
11348-5;4140007-0;related
11348-5;4120921-7;related
29521-6;4186613-7;related
18028-2;4155248-9;narrow
19020-6;4032016-9;related
14125-3;4054289-0;exact
12120-2;4137305-4;exact
15543-1;4176744-5;narrow
15543-1;4541915-2;narrow
15543-1;4309215-9;narrow
15543-1;4306302-0;narrow
15543-1;4198913-2;narrow
15543-1;4451045-7;narrow
15543-1;4130555-3;narrow
15543-1;4156718-3;narrow
15543-1;4176124-8;narrow
12794-5;4047118-4;exact
29907-5;4300601-2;narrow
29907-5;4427801-9;narrow
29907-5;4144975-7;narrow
29907-5;4448025-8;narrow
29907-5;4448035-0;narrow
12918-6;4123550-2;related
12357-6;4257136-4;narrow
12357-6;4172767-8;narrow
12357-6;4191340-1;narrow
12357-6;4134154-5;narrow
12357-6;4257137-6;narrow
12357-6;4174787-2;narrow
12357-6;4023231-1;narrow
12357-6;4141749-5;narrow
12357-6;4232778-7;narrow
12357-6;4194399-5;narrow
12357-6;4369028-2;narrow
18090-4;4061212-0;exact
19829-5;4066442-9;exact
29620-4;4019604-5;related
19803-2;4233947-9;exact
16292-2;4046584-6;exact
19096-1;4279746-9;related
10411-1;4113786-3;exact
10025-6;4314613-2;narrow
10304-2;4240567-1;related
15220-4;4168927-6;narrow
15220-4;4180965-8;narrow
15220-4;4168928-8;narrow
15220-4;4508520-1;narrow
29763-3;4005565-6;exact
14343-0;4063120-5;exact
19405-0;4057399-0;exact
28128-6;4128271-1;exact
14946-5;4649359-1;related
10161-5;4131868-7;exact
18130-4;4784261-1;narrow
15045-3;4142443-8;narrow
12730-3;4307865-5;narrow
12730-3;4113203-8;narrow
12730-3;4304983-7;narrow
12730-3;4171353-9;narrow
12730-3;4234149-8;narrow
12730-3;4113196-4;narrow
10020-2;4180199-4;narrow
10020-2;4191197-0;narrow
10020-2;4124211-7;narrow
10020-2;4116554-8;narrow
18391-4;4157824-7;exact
13828-2;4128017-9;narrow
13828-2;4204740-7;narrow
13828-2;4125185-4;narrow
13828-2;4556800-5;narrow
13828-2;4300547-0;narrow
13828-2;4304172-3;narrow
13828-2;4127493-3;narrow
13828-2;4628904-5;narrow
13828-2;4315047-0;narrow
13828-2;7679664-4;narrow
13828-2;4267125-5;narrow
13828-2;4166907-1;narrow
13828-2;4171066-6;narrow
13828-2;4508490-7;narrow
13828-2;4205930-6;narrow
18301-3;4152829-3;exact
18301-3;4224520-5;exact
10556-3;4200014-2;exact
12055-1;4297955-9;narrow
29889-2;4203980-0;exact
29591-6;1025171373;exact
11934-6;4258754-2;narrow
30033-2;4144091-2;exact
10166-2;4137512-9;exact
14930-6;4114277-9;exact
15801-5;4301028-3;narrow
12186-0;4231421-5;narrow
12186-0;4013912-8;narrow
12186-0;4045282-7;narrow
13874-2;4874352-5;narrow
13874-2;4486877-7;narrow
13874-2;7637450-6;narrow
13874-2;4874351-3;narrow
13874-2;4329718-3;narrow
13874-2;4273555-5;narrow
13874-2;4117578-5;narrow
13874-2;7637448-8;narrow
13874-2;4162654-0;narrow
13874-2;4874353-7;narrow
13874-2;4385245-2;narrow
13874-2;4454312-8;narrow
13874-2;4155068-7;narrow
11702-6;4168085-6;exact
11702-6;7565724-7;exact
11702-6;4057476-3;exact
