fromNotation;sourcepreflabel;toNotation;targetpreflabel
025.179;Großdruckschriften-Behandlungdruckschriften-Behandlung in Bibliotheken;AN 78950;Sonderbestände: Einzelne Publikationsformen 
025.179;Großdruckschriften-Behandlung in Bibliotheken;AN 74800;Katalogisierung von Sonderbeständen (Medien)
251.792;Blindenschriftpublikationen-Behandlung in Bibliotheken;AN 78950;Sonderbestände: Einzelne Publikationsformen
251.792;Blindenschriftpublikationen-Behandlung in Bibliotheken;AN 74800;Katalogisierung von Sonderbeständen (Medien)
251.794;Mikroformen-Behandlung in Bibliotheken;AN 78950;Sonderbestände: Einzelne Publikationsformen
251.794;Mikroformen-Behandlung in Bibliotheken;AN 74800;Katalogisierung von Sonderbeständen (Medien)
251.796;Lernkarteien-Behandlung in Bibliotheken;AN 78950;Sonderbestände: Einzelne Publikationsformen
251.796;Lernkarteien-Behandlung in Bibliotheken;AN 74800;Katalogisierung von Sonderbeständen (Medien)
025.19;Verwaltung einzelner Arten von Einrichtungen;AN 70000;Bibliotheksverwaltung: Allgemeines 
025.19673;USA. National Archives and Records Administration;AN 70000;Bibliotheksverwaltung: Allgemeines 
025.197;Allgemeinbibliotheken-Verwaltung;AN 70000;Bibliotheksverwaltung: Allgemeines
025.197092;Bibliotheksdirektoren;AN 70000 Bibliotheksverwaltung: Allgemeines;
251.974;öffentliche Bibliotheken-Verwaltung;AN 70000;Bibliotheksverwaltung: Allgemeines
251.974;öffentliche Bibliotheken-Verwaltung;AN 69300;öffentliche Bibliotheken Volksbüchereien, Public Library
251.975;Behördenbibliotheken-Verwaltung;AN 70000;Bibliotheksverwaltung: Allgemeines
251.975;Behördenbibliotheken-Verwaltung;AN 69200;Behördenbibliotheken
025.197573;Library of Congress-öffentliche Verwaltung;AN 70000;Bibliotheksverwaltung: Allgemeines
025.197573;Library of Congress-öffentliche Verwaltung;AN 82000;Ausländische Bibliotheken
025.197625;Kinderbibliotheken-Verwaltung;AN 70000;Bibliotheksverwaltung: Allgemeines
025.197625;Kinderbibliotheken-Verwaltung;AN 69550;Kinderbibliothek
025.197662;Krankenhausbibliotheken-Verwaltung;AN 70000;Bibliotheksverwaltung: Allgemeines
025.197662;Krankenhausbibliotheken-Verwaltung;AN 69800;Gefängnisbibliotheken, Krankenhausbibliotheken u.ä.
025.197663;Behinderte Personen-Bibliotheken für-Verwaltung;AN 70000;Bibliotheksverwaltung: Allgemeines
025.197663;Behinderte Personen-Bibliotheken für-Verwaltung;AN 69800;Gefängnisbibliotheken, Krankenhausbibliotheken u.ä.
025.197663;Behinderte Personen-Bibliotheken für-Verwaltung;AN 67300;nach der Art der Benutzung
025.197665;Gefängnisbibliotheken-Verwaltung;AN 70000;Bibliotheksverwaltung: Allgemeines
025.197665;Gefängnisbibliotheken-Verwaltung;AN 69800;Gefängnisbibliotheken, Krankenhausbibliotheken u.ä.
251.977;Wissenschaftliche Bibliotheken-Verwaltung;AN 70000;Bibliotheksverwaltung: Allgemeines
251.977;Wissenschaftliche Bibliotheken-Verwaltung;AN 67700;Wissenschaftliche Bibliotheken
251.977092;Direktoren wissenschaftlicher Bibliotheken;AN 70000;Bibliotheksverwaltung: Allgemeines
251.977092;Direktoren wissenschaftlicher Bibliotheken;AN 67700;Wissenschaftliche Bibliotheken
